Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
25797,1/14/22,Jim Koons Automotive Company,Electronic,Yes,253,Yes,Yes,Yes,Yes,Yes,,
25796,1/14/22,Caring Communities,Electronic,,9,Yes,,,,,,
25801,1/17/22,"Power Plumbing, LLC",Electronic,Yes,2,Yes,,Yes,,Yes,,
25817,1/18/22,"American Express Travel Related Services Company, Inc.",Electronic,,15,,,,Yes,,,
25816,1/18/22,Vail Health Services,Electronic,Yes,17,Yes,Yes,,,Yes,,
25814,1/18/22,"AMI Entertainment Network, LLC",Electronic,Yes,15,Yes,Yes,,,Yes,,
25813,1/18/22,"American Express Travel Related Services Company, Inc.",Electronic,,5,,,,Yes,,,
25812,1/18/22,"Ciox Health, LLC",Electronic,Yes,172,Yes,,Yes,,Yes,,
25811,1/18/22,Minuteman Security Technologies,Electronic,Yes,65,Yes,,,,Yes,,
25810,1/18/22,Sunset Harbour Yacht Club,Electronic,Yes,7,,,,Yes,Yes,,
25809,1/18/22,WINCHESTER SAVINGS BANK,Electronic,,3,,,,Yes,,,
25808,1/18/22,WINCHESTER SAVINGS BANK,Electronic,,2,,,,Yes,,,
25800,1/18/22,"McMenamins, Inc.",Electronic,Yes,11,Yes,,,,Yes,,
25824,1/19/22,"Telkonet, Inc.",Electronic,Yes,2,Yes,,,,Yes,,
25823,1/19/22,"LendUS, LLC",Electronic,Yes,14,Yes,Yes,,Yes,Yes,,
25822,1/19/22,M.P. Roberts Insurance Agency,Electronic,Yes,1526,,,Yes,,Yes,,
25820,1/19/22,Salem Five Cents Savings Bank,Paper,,2,,Yes,,,,,
25819,1/19/22,Powergrid Services LLC,Electronic,Yes,1,Yes,,,,Yes,,
25818,1/19/22,UnitedHealthcare,Electronic,Yes,28,Yes,,,,Yes,,
25815,1/19/22,LendingTree LLC,Electronic,Yes,,Yes,,,,Yes,,
25837,1/20/22,Comprehensive Health Services,Electronic,Yes,1533,Yes,,,,Yes,,
25836,1/20/22,"Hutt Trucking Co, Inc.",Electronic,Yes,91,Yes,,Yes,,Yes,,
25835,1/20/22,"Allied Benefit Systems, LLC",Electronic,Yes,5,Yes,,,,Yes,,
25834,1/20/22,"Samaritan Daytop Village, Inc.",Electronic,Yes,14,Yes,,,,Yes,,
25833,1/20/22,WyndRidge Health and Rehabilitation Center,Electronic,Yes,1,Yes,,,,Yes,,
25830,1/20/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
25829,1/20/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
25828,1/20/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
25827,1/20/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
25826,1/20/22,Main Street Bank,Electronic,,,,,,Yes,,,
25825,1/20/22,"CGSR, Inc. dba Meadowbrook Healthcare",Electronic,Yes,1,Yes,,,,Yes,,
25821,1/20/22,InTransit LLC,Electronic,Yes,42,Yes,,Yes,,Yes,,
25853,1/21/22,"Nuna Baby Essentials, Inc.",Electronic,Yes,816,,,,Yes,Yes,,
25851,1/21/22,J.R. Vinagro Corporation,Electronic,Yes,15,Yes,,,,Yes,,
25850,1/21/22,"EzBook Solution, LLC",Electronic,Yes,1,Yes,Yes,Yes,,Yes,,
25849,1/21/22,Greater Chattanooga Area Chamber of Commerce,Electronic,Yes,1,Yes,,,,Yes,,
25847,1/21/22,St. Marys Credit Union,Electronic,,3,,,,Yes,,,
25846,1/21/22,The Star Supply Company,Electronic,Yes,1,Yes,,,,Yes,,
25845,1/21/22,"Breslow Starling Frost Warner Boger Hiatt, PLLC",Electronic,Yes,13,Yes,,,,Yes,,
25844,1/21/22,Hellmann Worldwide Logistics,Electronic,Yes,3,Yes,,Yes,,Yes,,
25843,1/21/22,"Interstate Title Solutions, Inc.",Electronic,Yes,8,,,Yes,,Yes,,
25842,1/21/22,RAE Corporation,Electronic,Yes,3,Yes,,Yes,,Yes,,
25841,1/21/22,"Perennials & Sutherland, LLC",Electronic,Yes,6,Yes,,Yes,,Yes,,
25840,1/21/22,Leader Bank,Electronic,Yes,2,Yes,,Yes,,Yes,,
25832,1/21/22,BPG Real Estate Services,Electronic,Yes,24,Yes,,,,Yes,,
25831,1/21/22,St. Lucie County's Drug Screening Lab,Electronic,Yes,21,Yes,,,,Yes,,
25839,1/22/22,Startek Inc.,Electronic,Yes,4,Yes,,,,Yes,,
25838,1/22/22,Grand Street Settlement Inc.,Electronic,Yes,9,Yes,Yes,Yes,,Yes,,
25884,1/24/22,"Ensinger Industries, Inc.",Electronic,Yes,20,Yes,,,,Yes,,
25883,1/24/22,Walsworth Publishing Company,Electronic,Yes,20,Yes,Yes,,,Yes,,
25865,1/24/22,Eastern Bank,Electronic,,2543,,,,Yes,,,
25864,1/24/22,The Cooperative Bank of Cape Cod,Electronic,,463,,,,Yes,,,
25863,1/24/22,CTH Rentals,Electronic,Yes,11,Yes,,,,Yes,,
25862,1/24/22,Key Planning,Electronic,Yes,3,Yes,Yes,Yes,,Yes,,
25861,1/24/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
25860,1/24/22,Mutual One Bank,Electronic,,1,,,Yes,Yes,,,
25859,1/24/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
25858,1/24/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
25857,1/24/22,Beth Israel Deaconess Medical Center,Electronic,Yes,1,Yes,,,,Yes,,
25856,1/24/22,Rockland Trust,Electronic,Yes,2,,Yes,,,Yes,,
25855,1/24/22,Rockland Trust,Electronic,Yes,1,,Yes,,,Yes,,
25854,1/24/22,"Medical Healthcare Solutions, Inc.",Electronic,Yes,118417,Yes,Yes,Yes,Yes,Yes,,
25848,1/24/22,Rockland Trust,Electronic,Yes,2,,Yes,,,Yes,,
25882,1/25/22,"JPMorgan Chase Bank, N.",Electronic,Yes,1,,Yes,,,,,
25881,1/25/22,Hospital Authority of Valdosta and Lowndes County Georgia,Electronic,Yes,1,,,,,Yes,,
25880,1/25/22,"American Express Travel Related Services Company, Inc.",Electronic,,44,,,,Yes,,,
25872,1/25/22,Catholic Hospice,Electronic,Yes,17,Yes,,,,Yes,,
25871,1/25/22,Penn LLC d/b/a PulseTV,Electronic,,5270,,,,Yes,,,
25870,1/25/22,"Allied Benefit Systems, LLC",Electronic,Yes,5,Yes,,,,Yes,,
25869,1/25/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
25868,1/25/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
25867,1/25/22,Valley Regional Transit,Electronic,Yes,1,Yes,,,,Yes,,
25888,1/26/22,"Morley Companies, Inc.",Electronic,Yes,756,Yes,Yes,Yes,,Yes,,
25886,1/26/22,Jones Family of Companies,Electronic,Yes,2,Yes,Yes,Yes,,Yes,,
25885,1/26/22,Rockport Police Department,Electronic,Yes,1,Yes,,Yes,,,,
25879,1/26/22,Girl Scouts of Connecticut,Electronic,Yes,1,Yes,,,,Yes,,
25878,1/26/22,Midland University,Electronic,Yes,9,Yes,,,,Yes,,
25877,1/26/22,Aditi Consulting,Electronic,Yes,61,Yes,,,,Yes,,
25876,1/26/22,Cleo AI Inc,Electronic,Yes,1,,Yes,,,,,
25875,1/26/22,Specialized Pediatric Eye Care,Electronic,,182,Yes,,,,Yes,,
25874,1/26/22,Psych Care Consultants and Reimbursement Solutions,Electronic,,24,Yes,,,,Yes,,
25873,1/26/22,Salem Five Cents Savings Bank,Electronic,,36,,,,Yes,,,
25890,1/27/22,Ally Financial,Electronic,Yes,6,,Yes,,,Yes,,
25889,1/27/22,WINCHESTER SAVINGS BANK,Electronic,,8,,,,Yes,,,
25887,1/27/22,"JPay, Inc.",Electronic,Yes,8,Yes,Yes,Yes,,Yes,,
25866,1/27/22,"Stratis Visuals, LLC",Electronic,Yes,6,Yes,,Yes,,Yes,,
25904,1/28/22,Webster Five Cents Savings Bank,Electronic,,5,,,,Yes,,,
25903,1/28/22,Envision Credit Union,Electronic,Yes,19,Yes,Yes,Yes,Yes,Yes,,
25902,1/28/22,Accutech Systems Corporation,Electronic,Yes,439,Yes,Yes,,,Yes,,
25901,1/28/22,"ALM Media Properties, LLC",Electronic,Yes,21,,Yes,,,,,
25900,1/28/22,Banfield Pet Hospital,Electronic,,1,Yes,,,,Yes,,
25899,1/28/22,Keller Supply Company,Electronic,Yes,1,Yes,,,,Yes,,
25894,1/28/22,"Apex International Mfg., LLC",Electronic,Yes,2,Yes,,,,Yes,,
25893,1/28/22,"Bard Associates, Inc.",Electronic,Yes,8,Yes,Yes,,,Yes,,
25892,1/28/22,Internews Network,Electronic,Yes,31,Yes,,,,Yes,,
25897,1/29/22,"Farmers Telephone Cooperative, Inc.",Electronic,Yes,6,Yes,Yes,,,Yes,,
25949,1/31/22,Bank of America,Electronic,,2,Yes,Yes,Yes,,Yes,,
25919,1/31/22,Bank of America,Electronic,,2,Yes,Yes,Yes,,Yes,,
25896,1/31/22,WINCHESTER SAVINGS BANK,Electronic,,4,,,,Yes,,,
25895,1/31/22,Unum Group,Electronic,Yes,210,Yes,,,,Yes,,
25906,2/1/22,Small Business Accounting Services,Electronic,Yes,5,Yes,Yes,,,Yes,,
25905,2/1/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
26068,2/2/22,BluePearl Specialty + Emergency Pet Hospital,Paper,Yes,120,Yes,,,,Yes,,
25908,2/2/22,Girl Scouts of Connecticut,Electronic,Yes,1,Yes,,,,Yes,,
25907,2/2/22,Adams Community Bank,Electronic,,1,,,,Yes,,,
25926,2/3/22,"PUMA North America, Inc.",Electronic,Yes,1159,Yes,,,,Yes,,
25921,2/3/22,Massachusetts Teachers' Retirement System,Electronic,Yes,2,,,,,,,
25920,2/3/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
25918,2/3/22,"American Cancer Society, Inc.",Paper,,2,,Yes,,,,,
25917,2/3/22,"Optisure Risk Partners, LLC.",Electronic,Yes,1,,Yes,,,Yes,,
25916,2/3/22,Foundation Wellness,Electronic,Yes,140,,,,Yes,,,
25914,2/3/22,Margaret Higgs MD,Paper,Yes,1,,,,Yes,Yes,,
25913,2/3/22,Professional Personnel Services d/b/a Luttrell Staffing Group,Electronic,Yes,5,Yes,,,,,,
25912,2/3/22,Adams Community Bank,Electronic,,1,,,,Yes,,,
25911,2/3/22,"Mango Technologies, Inc., dba ClickUp",Electronic,Yes,1,,Yes,,,Yes,,
25910,2/3/22,"Schwartz & Greenbaum, LLC",Electronic,Yes,5,Yes,Yes,Yes,,Yes,,
25909,2/3/22,"Radius Financial Group, Inc",Electronic,Yes,12377,Yes,Yes,Yes,Yes,Yes,,
25929,2/4/22,Jefferson Credit Union,Electronic,Yes,2,Yes,Yes,Yes,,Yes,,
25928,2/4/22,"American Express Travel Related Services Company, Inc",Electronic,,17,,,,Yes,,,
25927,2/4/22,Mortgage Connect LP,Electronic,Yes,16,Yes,Yes,Yes,Yes,Yes,,
25925,2/4/22,Injured Workers Pharmacy,Electronic,Yes,295,Yes,Yes,Yes,Yes,Yes,,
25924,2/4/22,"Concord Hospitality Enterprises Company, LLC",Electronic,Yes,31,Yes,,,,Yes,,
25923,2/4/22,Watertown Savings Bank,Electronic,,3,,,,Yes,,,
25922,2/4/22,"Cobec Consulting, Inc.",Electronic,Yes,2,Yes,,,,Yes,,
25941,2/7/22,Tuscarora Intermediate Unit 11,Electronic,Yes,1,Yes,,,,Yes,,
25939,2/7/22,"Briad Management Services, LLC",Electronic,Yes,2,Yes,,,,Yes,,
25938,2/7/22,"KMG Prestige, Inc.",Electronic,Yes,1,Yes,,Yes,,Yes,,
25937,2/7/22,Care New England Health System,Paper,Yes,2,Yes,,,,Yes,,
25936,2/7/22,Spaulding Rehabilitation Network,Electronic,,1,,,,,Yes,,
25935,2/7/22,Ballester Hermanos,Electronic,Yes,1,Yes,,,,Yes,,
25934,2/7/22,WINCHESTER SAVINGS BANK,Electronic,,4,,,,Yes,,,
25933,2/7/22,H.J. Russell & company,Electronic,Yes,2,Yes,,,,Yes,,
25932,2/7/22,MassMedicum Corp.,Electronic,,53,Yes,,Yes,,Yes,,
25931,2/7/22,Berkshire Concrete Cutting LLC,Electronic,Yes,5,Yes,,,,Yes,,
25930,2/7/22,"Kem Krest, LLC",Electronic,Yes,2,Yes,,,,Yes,,
25954,2/8/22,Oregano's Pizza Bistro,Electronic,Yes,5,Yes,Yes,,,Yes,,
25952,2/8/22,"James E. Hanson Management Company, Inc.",Electronic,Yes,3,Yes,,,,Yes,,
25951,2/8/22,"Millenia Investments, LLC",Electronic,Yes,12,Yes,Yes,,,Yes,,
25947,2/8/22,Hospitality Furnishing and Design,Electronic,Yes,1,Yes,,,,Yes,,
25946,2/8/22,Precision Terminal Logistics,Electronic,Yes,8,Yes,Yes,Yes,,Yes,,
25945,2/8/22,"Global Air Charters, Inc.",Electronic,Yes,1,Yes,Yes,Yes,,Yes,,
25944,2/8/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
25943,2/8/22,Shawmut Communications Group,Electronic,Yes,244,Yes,,,,Yes,,
25942,2/8/22,National Math and Science Initiative,Electronic,Yes,105,Yes,,,,Yes,,
25940,2/8/22,Cross Timbers Health Clinics d/b/a AccelHealth,Electronic,Yes,1,Yes,Yes,Yes,,Yes,,
25967,2/9/22,"Component Assembly Systems, Inc.",Electronic,Yes,15,Yes,,Yes,,Yes,,
25966,2/9/22,"Sigma Labs, Inc.",Electronic,Yes,3,Yes,,,,Yes,,
25965,2/9/22,ApeMDx Home Loans,Electronic,Yes,7,Yes,Yes,Yes,Yes,Yes,,
25957,2/9/22,Amica,Electronic,,1,,,Yes,,,,
25956,2/9/22,"OTR Global Holdings II, Inc.",Electronic,Yes,3,,,,,,,
25955,2/9/22,"Perrone Robotics, Inc.",Electronic,Yes,1,,Yes,,,Yes,,
25964,2/10/22,"Northern Contours, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
25963,2/10/22,The Lyon Waugh Auto Group,Electronic,Yes,3482,Yes,,Yes,,Yes,,
25962,2/10/22,Vermont Mutual Insurance Company,Electronic,,1,,,Yes,,Yes,,
25961,2/10/22,Sierra Pacific Mortgage,Electronic,Yes,10,Yes,,,,Yes,,
25960,2/10/22,Miller Valentine,Electronic,Yes,1,,,Yes,,Yes,,
25959,2/10/22,Venitt Financial Partners LLC,Electronic,Yes,1,Yes,Yes,,,Yes,,
25972,2/11/22,"Seviroli Foods, Inc./Vertullo Imports",Electronic,Yes,5,Yes,,,,Yes,,
25971,2/11/22,Utility Trailer Manufacturing Company,Electronic,Yes,3,Yes,,,,Yes,,
25970,2/11/22,"Service Employees International Union, Local 32BJ",Electronic,Yes,23078,Yes,Yes,,,Yes,,
25969,2/11/22,"PrimeLending, A PlainsCapital Company",Electronic,Yes,1,Yes,,,,Yes,,
25968,2/11/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
25958,2/11/22,"American Express Travel Related Services Company, Inc.",Electronic,,3149,,,,Yes,,,
25984,2/14/22,"Hitchiner Manufacturing Co., Inc.",Electronic,Yes,77,Yes,Yes,,,Yes,,
25983,2/14/22,"CIC Wealth, LLC",Electronic,Yes,1,,Yes,,,,,
25982,2/14/22,Ethos Technologies Inc.,Electronic,Yes,354,,,Yes,,Yes,,
25981,2/14/22,Webster Five Cents Savings Bank,Electronic,,9,,,,Yes,,,
25980,2/14/22,Center for Sustainable Energy,Electronic,Yes,7,Yes,,,,Yes,,
25979,2/14/22,"DPI Specialty Foods, Inc.",Electronic,Yes,807,Yes,Yes,Yes,,Yes,,
25978,2/14/22,"AGM Financial, Inc.",Electronic,Yes,5,Yes,,,,Yes,,
25977,2/14/22,"Rolf G Williams, CPA",Electronic,Yes,309,Yes,Yes,Yes,,Yes,,
25973,2/14/22,KMG Prestige,Electronic,,1,Yes,,Yes,,Yes,,
26001,2/15/22,"Vital Voices Global Partnership, Inc.",Electronic,Yes,6,,Yes,,Yes,Yes,,
25997,2/15/22,Hofmann Arthritis Institute PLLC,Electronic,,1,Yes,Yes,Yes,,Yes,,
25991,2/15/22,"La Posada at Park Centre, Inc.",Electronic,Yes,2,Yes,Yes,Yes,,Yes,,
25990,2/15/22,Orthopedic Associates of Hawaii,Electronic,Yes,75,Yes,,,,Yes,,
25989,2/15/22,Diversified Maintenance,Electronic,Yes,3,Yes,,,,Yes,,
25988,2/15/22,"Vital Voices Global Partnership, Inc.",Electronic,Yes,6,,Yes,,,Yes,,
25976,2/15/22,Lincare Holdings Inc.,Electronic,Yes,22313,Yes,Yes,,,Yes,,
25975,2/15/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
25974,2/15/22,Main Street Bank,Electronic,,1,,,,Yes,,,
25993,2/16/22,Extend Fertility,Electronic,Yes,47,,,,Yes,Yes,,
25987,2/16/22,"Linical Accelovance America, Inc",Electronic,Yes,3,Yes,,,,Yes,,
25986,2/16/22,"Murray & Josephson, CPAs, LLC",Electronic,Yes,5,Yes,,,,Yes,,
25985,2/16/22,"Goss Dodge, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
25998,2/17/22,"Bible Fellowship Church Homes, Inc.",Electronic,Yes,6,Yes,Yes,,,Yes,,
25994,2/17/22,Santa Clara Valley Transportation Authority,Electronic,Yes,1,,Yes,,,Yes,,
25992,2/17/22,Massachusetts Department of Transportation Registry of Motor Vehicles,Paper,Yes,1,Yes,,Yes,,,,
26016,2/18/22,"Welfare & Pension Administration Service, Inc.",Electronic,Yes,9,Yes,Yes,,,Yes,,
26015,2/18/22,The Reingold Company PC,Electronic,Yes,25,Yes,Yes,,,Yes,,
26013,2/18/22,"Seatrec, Inc.",Electronic,Yes,4,Yes,Yes,Yes,,Yes,,
26012,2/18/22,"Meyer Corporation, U.S.",Electronic,Yes,2,Yes,,Yes,,Yes,,
26000,2/18/22,Cape Cod Five,Electronic,Yes,2,,Yes,,,,,
25999,2/18/22,"LW1, Inc",Electronic,Yes,5,Yes,,,,Yes,,
25996,2/18/22,"Harris, Hardy, & Johnstone, P.C.",Electronic,Yes,2,,Yes,,,,,
25995,2/18/22,Winchester Savings Bank,Electronic,,1,,,,Yes,,,
26011,2/19/22,"Michael Maltzan Architecture, Inc.",Electronic,Yes,10,Yes,,,,Yes,,
26009,2/20/22,JMA Energy,Electronic,Yes,15,Yes,Yes,,,Yes,,
26008,2/21/22,Credit Union West,Electronic,Yes,1,Yes,,Yes,,Yes,,
26006,2/21/22,Bay & Bay Transportation,Electronic,Yes,38,Yes,Yes,Yes,Yes,Yes,,
26021,2/22/22,Aegis Software Corporation,Electronic,Yes,5,Yes,Yes,,,Yes,,
26020,2/22/22,"Taylor, Ganson & Perrin, LLP",Electronic,Yes,8767,Yes,Yes,Yes,Yes,Yes,,
26019,2/22/22,Adams Community Bank,Electronic,,1,,,,Yes,,,
26017,2/22/22,"AGM Financial Services, Inc.",Electronic,Yes,5,,Yes,,,Yes,,
26014,2/22/22,Allianz Life Insurance Company of North America,Paper,Yes,1,Yes,,,,Yes,,
26010,2/22/22,Nelnet Campus Commerce,Electronic,Yes,272,Yes,,,,Yes,,
26007,2/22/22,"Citibank, N.A.",Electronic,Yes,1,Yes,Yes,,Yes,Yes,,
26005,2/22/22,Manhattan School of Music,Electronic,Yes,42,Yes,Yes,,Yes,Yes,,
26004,2/22/22,St. Marys Credit Union,Electronic,,1,,,,Yes,,,
26003,2/22/22,The Village Bank,Electronic,Yes,2,,Yes,,Yes,,,
26002,2/22/22,Caulipower LLC,Electronic,Yes,2,Yes,,Yes,,Yes,,
26034,2/23/22,"Alliance Physical Therapy Group, LLC",Electronic,Yes,2,Yes,,Yes,,Yes,,
26033,2/23/22,First National Bank of Hughes Springs,Electronic,Yes,2,Yes,Yes,Yes,,Yes,,
26032,2/23/22,"Vestas Blades America, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
26031,2/23/22,AlixaRx,Electronic,Yes,7,Yes,,,,Yes,,
26029,2/23/22,"JPMorgan Chase Bank, N.A.",Electronic,Yes,1,,Yes,,,,,
26028,2/23/22,Ascension Michigan,Electronic,Yes,,Yes,,Yes,,Yes,,
26027,2/23/22,Thybar Corporation,Electronic,Yes,1,Yes,,,,Yes,,
