,Breach Type Description_Both,Breach Type Description_Electronic,Breach Type Description_Paper,Breach Type Description_Undefined,Date Reported To OCA,Organization Name,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen,Organization Categories
56,0.0,1.0,0.0,0.0,2008-02-07,Salesforce.com,False,38.0,True,False,False,False,False,False,True,Finance
57,0.0,1.0,0.0,0.0,2008-02-08,Vanguard,False,1.0,True,False,False,False,False,True,False,Finance
58,0.0,1.0,0.0,0.0,2008-02-08,Cross Country Staffing,False,41.0,True,False,False,False,True,False,True,Healthcare
59,0.0,1.0,0.0,0.0,2008-02-08,"Cross Country Travcorps, Inc., NovaPro, Inc., and Assignment America, Inc. dba Cross Country Staffin",False,41.0,True,False,False,False,True,False,False,Technology
60,0.0,1.0,0.0,0.0,2008-02-11,Sun Life Financial,False,2.0,False,True,False,False,True,False,False,Healthcare
61,0.0,1.0,0.0,0.0,2008-02-11,Vanguard,False,1.0,True,False,False,False,False,True,False,Finance
62,0.0,1.0,0.0,0.0,2008-02-13,Bank of America,False,1.0,True,True,False,False,True,False,False,Technology
63,0.0,0.0,1.0,0.0,2008-02-14,MBSC Securities Corporation,False,7.0,False,True,False,False,True,False,False,Finance
64,0.0,1.0,0.0,0.0,2008-02-14,SYDA Foundation,False,41.0,False,False,False,True,False,False,False,Corporation
65,0.0,1.0,0.0,0.0,2008-02-14,Mass. General Physicians Organization,False,41.0,True,False,False,False,False,False,True,Healthcare
66,0.0,1.0,0.0,0.0,2008-02-14,Vanguard,False,3.0,True,False,False,False,False,True,False,Finance
67,0.0,1.0,0.0,0.0,2008-02-15,The Hartford,False,3.0,True,False,False,False,True,False,True,Finance
68,0.0,1.0,0.0,0.0,2008-02-15,Marlborough Hospital,False,20.0,True,True,False,False,False,False,False,Other
69,0.0,1.0,0.0,0.0,2008-02-19,QVC,False,1.0,False,True,False,True,False,False,False,Other
70,0.0,0.0,1.0,0.0,2008-02-19,J. Lohr Vineyards & Wines,False,3.0,True,True,False,False,True,False,True,Other
71,0.0,0.0,1.0,0.0,2008-02-19,The Commonwealth of MA - DOE,False,41.0,True,False,False,False,False,False,True,Corporation
72,0.0,0.0,1.0,0.0,2008-02-25,Philips Lighting Company,False,41.0,True,False,False,False,True,False,True,Corporation
73,0.0,1.0,0.0,0.0,2008-02-27,Republic Bank & Trust Company,False,41.0,True,False,False,False,False,False,False,Finance
74,0.0,1.0,0.0,0.0,2008-02-27,Nestle Waters North America Inc.,False,41.0,True,False,False,False,True,False,True,Technology
75,0.0,1.0,0.0,0.0,2008-02-29,Boston Private Bank & Trust Company,False,1.0,True,True,False,True,False,False,False,Finance
76,0.0,0.0,1.0,0.0,2008-03-03,Massachusetts Mutual Life Insurance Company,False,1.0,True,False,False,False,False,False,False,Finance
77,0.0,1.0,0.0,0.0,2008-03-05,Vanguard,False,1.0,False,True,False,False,False,False,False,Finance
78,0.0,1.0,0.0,0.0,2008-03-05,Kraft Foods,False,41.0,True,False,False,False,True,False,True,Other
79,0.0,1.0,0.0,0.0,2008-03-06,"LEAF Financial Corporation Merit Capital Advance, LLC",False,3.0,True,False,False,False,False,False,True,Technology
80,0.0,1.0,0.0,0.0,2008-03-06,Vanguard,False,1.0,False,True,False,False,False,False,False,Finance
81,0.0,1.0,0.0,0.0,2008-03-07,Vanguard,False,1.0,True,False,False,False,False,False,False,Finance
82,0.0,1.0,0.0,0.0,2008-03-07,Education Management Corporation,False,3.0,True,False,False,False,False,False,True,Technology
83,0.0,1.0,0.0,0.0,2008-03-10,Starling Insurance and Associates,False,19.0,True,False,False,False,True,False,True,Finance
84,0.0,1.0,0.0,0.0,2008-03-11,"F.A. Carmichael  Dentistry, Inc.",False,41.0,True,False,False,False,False,False,True,Technology
85,0.0,1.0,0.0,0.0,2008-03-11,Priority Health,False,13.0,True,False,False,False,False,False,False,Healthcare
86,0.0,1.0,0.0,0.0,2008-03-11,The Commonwealth of MA - DOE,False,41.0,True,False,False,False,False,False,True,Corporation
87,0.0,1.0,0.0,0.0,2008-03-11,Wolters Kluwer,False,41.0,False,False,False,True,True,False,False,Technology
88,0.0,1.0,0.0,0.0,2008-03-12,Harvard University,False,41.0,True,False,False,False,False,False,False,Other
89,0.0,1.0,0.0,0.0,2008-03-12,MTV Networks,False,10.0,True,False,False,False,True,False,False,Other
90,0.0,1.0,0.0,0.0,2008-03-12,The Dental Network,False,15.0,True,False,False,False,True,False,False,Healthcare
91,0.0,1.0,0.0,0.0,2008-03-12,The Dental Network,True,15.0,True,False,False,False,False,False,False,Healthcare
92,0.0,1.0,0.0,0.0,2008-03-13,Lasell College,False,41.0,True,False,False,True,False,False,False,Corporation
93,0.0,1.0,0.0,0.0,2008-03-13,MTV Networks,False,41.0,True,False,False,False,True,False,True,Other
94,0.0,1.0,0.0,0.0,2008-03-14,3M,False,25.0,True,False,False,False,True,False,True,Technology
95,0.0,1.0,0.0,0.0,2008-03-14,"Toshiba America Information Systems,Inc.",False,1.0,False,False,False,True,True,False,False,Technology
96,0.0,1.0,0.0,0.0,2008-03-18,Northeast Investors Trust and Investors Growth Fund,False,5.0,True,True,False,False,False,False,False,Finance
97,0.0,1.0,0.0,0.0,2008-03-20,"Griffin Electric, Inc.",False,41.0,True,False,False,False,True,False,True,Corporation
98,0.0,1.0,0.0,0.0,2008-03-20,Camp Starfish,False,30.0,True,False,False,False,False,False,False,Technology
99,0.0,0.0,1.0,0.0,2008-03-21,"Toshiba America Information Systems, Inc.",False,18.0,True,False,False,False,True,False,False,Technology
100,0.0,1.0,0.0,0.0,2008-03-21,Genworth Finanical,False,10.0,True,False,False,False,True,False,True,Technology
101,0.0,1.0,0.0,0.0,2008-03-21,Genica Corporation,False,0.0,False,False,False,True,False,False,False,Technology
102,0.0,1.0,0.0,0.0,2008-03-24,"Pfizer, Inc.",False,15.0,False,False,False,True,True,False,True,Healthcare
103,0.0,1.0,0.0,0.0,2008-03-24,CitiBank,False,19.0,False,False,False,True,True,False,False,Finance
104,0.0,1.0,0.0,0.0,2008-03-24,"Merrimack Mortgage Company, Inc.",False,2.0,True,False,False,False,True,False,False,Finance
105,0.0,0.0,1.0,0.0,2008-03-24,Zurich American Insurance Company,False,19.0,False,False,False,False,True,False,False,Technology
106,0.0,0.0,1.0,0.0,2008-03-25,Genworth Life and Annuity Insurance Company,False,10.0,True,False,False,False,True,False,True,Finance
108,0.0,1.0,0.0,0.0,2008-03-26,"Infinity Pharmaceuticals, Inc.",False,41.0,True,False,False,False,True,False,True,Technology
109,0.0,1.0,0.0,0.0,2008-03-27,"THQ, Inc.",False,41.0,True,True,False,False,True,False,True,Corporation
110,0.0,1.0,0.0,0.0,2008-03-27,Museum of Science,False,41.0,False,False,False,True,True,False,False,Technology
111,0.0,0.0,1.0,0.0,2008-03-28,"Eastern Sales & Marketing, New England",False,41.0,True,True,False,False,False,False,False,Finance
113,0.0,0.0,1.0,0.0,2008-03-28,Men's Warehouse,False,4.0,True,False,False,False,True,False,False,Other
114,0.0,1.0,0.0,0.0,2008-03-28,Bank of New York Mellon Shareowner Services,False,41.0,True,True,False,False,True,False,True,Finance
115,0.0,1.0,0.0,0.0,2008-03-31,"Marriott International, Inc.",False,3.0,True,False,False,False,True,False,True,Corporation
116,0.0,1.0,0.0,0.0,2008-03-31,Synovus Financial Corp.,False,1.0,True,True,False,False,True,False,True,Healthcare
117,0.0,1.0,0.0,0.0,2008-03-31,CitiStreet LLC,False,6.0,True,False,False,False,True,False,True,Finance
118,0.0,1.0,0.0,0.0,2008-03-31,Citizens Bank,False,41.0,False,True,False,False,True,False,False,Finance
119,0.0,1.0,0.0,0.0,2008-04-02,UniCare,False,29.0,True,False,False,False,True,False,False,Technology
120,0.0,1.0,0.0,0.0,2008-04-02,Sentinel Benefits,False,10.0,True,False,False,False,True,False,False,Finance
122,0.0,1.0,0.0,0.0,2008-04-04,Unicare,False,29.0,True,False,False,False,True,False,False,Technology
123,0.0,1.0,0.0,0.0,2008-04-05,International IOR Rectifier,False,41.0,True,False,False,False,False,False,True,Technology
124,0.0,0.0,1.0,0.0,2008-04-07,Siemens Healthcare Diagnostics Inc.,False,15.0,True,False,False,False,True,False,True,Technology
125,0.0,1.0,0.0,0.0,2008-04-08,GMAC Insurance,False,1.0,True,False,False,False,True,False,True,Finance
126,0.0,1.0,0.0,0.0,2008-04-10,"Interbank FX, LLC",False,41.0,True,False,False,False,True,False,False,Finance
127,0.0,0.0,1.0,0.0,2008-04-11,Stryker Instruments,False,26.0,True,False,False,False,True,False,False,Technology
128,0.0,1.0,0.0,0.0,2008-04-11,Aon Corporation,False,1.0,True,False,False,False,True,False,True,Corporation
129,0.0,0.0,1.0,0.0,2008-04-11,Fidelity Investments,False,1.0,True,True,False,False,False,False,False,Finance
131,0.0,1.0,0.0,0.0,2008-04-14,Marshall & Ilsley Corporation,False,2.0,True,False,False,False,False,False,False,Corporation
132,0.0,1.0,0.0,0.0,2008-04-15,Mortgage Network,False,39.0,True,True,False,True,False,False,True,Finance
133,0.0,0.0,1.0,0.0,2008-04-15,Aon Corporation,False,1.0,True,False,False,False,True,False,False,Corporation
134,0.0,1.0,0.0,0.0,2008-04-16,"Purdue Pharma, LP",False,41.0,True,True,False,False,True,False,True,Healthcare
135,0.0,1.0,0.0,0.0,2008-04-16,The Commonwealth of MA - GIC,False,29.0,True,False,False,False,False,False,False,Corporation
136,0.0,1.0,0.0,0.0,2008-04-16,Citi,False,2.0,True,False,False,True,True,False,False,Finance
137,0.0,1.0,0.0,0.0,2008-04-17,The Commonwealth of MA - RMV,False,1.0,True,False,True,False,False,False,False,Corporation
138,0.0,0.0,1.0,0.0,2008-04-17,The Commonwealth of MA - RMV,False,1.0,False,False,True,False,False,False,False,Corporation
139,0.0,1.0,0.0,0.0,2008-04-17,Central New England Health Alliance,False,41.0,True,False,False,False,False,False,True,Healthcare
140,0.0,0.0,1.0,0.0,2008-04-18,X.L. Global Services Inc.,False,3.0,True,False,False,False,True,False,True,Corporation
141,0.0,1.0,0.0,0.0,2008-04-21,Columbia Capital LLC,False,10.0,True,True,False,False,False,False,True,Technology
142,0.0,1.0,0.0,0.0,2008-04-22,The Commonwealth of MA - DPL,False,41.0,True,False,False,False,True,False,False,Corporation
143,0.0,1.0,0.0,0.0,2008-04-22,Lending Tree,False,41.0,True,False,False,False,False,False,False,Finance
144,0.0,0.0,1.0,0.0,2008-04-22,SPX Corporation,False,3.0,True,True,False,False,True,False,True,Technology
145,0.0,1.0,0.0,0.0,2008-04-22,Mass General Hospital,False,34.0,True,False,False,False,False,False,True,Other
146,0.0,0.0,1.0,0.0,2008-04-22,Swimwear Boutique.com,False,41.0,False,False,False,True,True,False,False,Corporation
147,0.0,1.0,0.0,0.0,2008-04-23,"Ameriprise Financial, Inc.",False,10.0,True,False,False,False,True,False,False,Healthcare
148,0.0,1.0,0.0,0.0,2008-04-23,Sterling Commerce,False,41.0,True,False,False,False,True,False,False,Corporation
150,0.0,1.0,0.0,0.0,2008-04-24,Promissor,False,41.0,True,False,False,False,True,False,False,Finance
151,0.0,1.0,0.0,0.0,2008-04-25,The Commonwealth of MA Teachers' Retirement System,False,41.0,True,False,False,False,False,False,False,Corporation
153,1.0,0.0,0.0,0.0,2008-04-28,Yeshiva University,False,4.0,True,True,False,False,False,False,True,Other
154,0.0,0.0,1.0,0.0,2008-04-28,HSBC Retail Services,False,22.0,False,False,False,True,False,False,False,Finance
155,0.0,1.0,0.0,0.0,2008-04-28,Bank of America,False,41.0,True,False,False,False,True,False,False,Technology
156,0.0,1.0,0.0,0.0,2008-05-05,"Kindred Rehab Sercvices, Inc.",False,1.0,True,False,False,False,False,False,True,Corporation
157,0.0,0.0,1.0,0.0,2008-05-05,Sterling Jewelers Inc.,True,21.0,False,False,False,True,False,False,False,Corporation
158,0.0,1.0,0.0,0.0,2008-05-05,LPL Financial Corporation,False,22.0,True,True,False,False,True,False,False,Healthcare
159,0.0,0.0,1.0,0.0,2008-05-05,LPL Financial Corporation,False,41.0,True,True,False,False,True,False,True,Healthcare
160,0.0,1.0,0.0,0.0,2008-05-05,LPL Financial Corporation,False,1.0,True,True,False,False,True,False,True,Healthcare
161,0.0,1.0,0.0,0.0,2008-05-05,LPL Financial Corporation,False,41.0,True,True,False,False,True,False,True,Healthcare
162,0.0,0.0,1.0,0.0,2008-05-05,Argosy University,False,22.0,True,False,False,False,True,False,True,Other
163,0.0,1.0,0.0,0.0,2008-05-05,"Adobe Systems Incorporated (""Adobe"")",False,14.0,False,True,True,False,True,False,False,Technology
164,0.0,1.0,0.0,0.0,2008-05-06,Rehabilitation Hospital of the Cape and Islands,False,26.0,True,False,False,False,False,False,False,Technology
165,0.0,0.0,1.0,0.0,2008-05-07,Boch Enterprises,False,1.0,True,True,False,False,False,False,False,Corporation
166,0.0,1.0,0.0,0.0,2008-05-08,LPL Financial Corporation,False,1.0,True,True,False,False,True,False,False,Healthcare
167,0.0,1.0,0.0,0.0,2008-05-09,Bryant & Stratton College,False,3.0,True,False,False,False,True,False,True,Corporation
168,0.0,1.0,0.0,0.0,2008-05-09,Progressive Insurance,False,41.0,False,False,True,False,False,False,False,Finance
169,0.0,1.0,0.0,0.0,2008-05-12,Sodexo,False,41.0,True,False,False,False,False,False,True,Other
170,0.0,1.0,0.0,0.0,2008-05-12,Vanguard,False,1.0,False,True,False,False,False,False,False,Finance
171,0.0,1.0,0.0,0.0,2008-05-12,BearingPoint Management & Technology Consultants,False,7.0,True,False,False,False,True,False,True,Technology
172,0.0,0.0,1.0,0.0,2008-05-12,Rockland Trust Company,False,35.0,False,False,False,True,False,False,False,Corporation
173,0.0,1.0,0.0,0.0,2008-05-15,The Commonwealth of MA - DOI,False,41.0,True,False,True,False,False,False,False,Corporation
174,0.0,0.0,1.0,0.0,2008-05-16,Capella University,False,1.0,True,False,False,False,False,False,False,Technology
175,0.0,1.0,0.0,0.0,2008-05-16,Axcess Financial,False,41.0,True,False,False,False,False,False,False,Healthcare
176,0.0,1.0,0.0,0.0,2008-05-19,Vanguard,False,1.0,False,True,False,False,False,False,False,Finance
177,0.0,1.0,0.0,0.0,2008-05-19,Automotive Events,False,1.0,True,False,False,False,False,False,True,Other
178,0.0,0.0,1.0,0.0,2008-05-19,Wells Fargo,False,41.0,True,True,False,False,False,False,False,Finance
179,0.0,1.0,0.0,0.0,2008-05-22,"Citi - CAI Hedge Fund Partners, LLC",False,5.0,True,False,False,False,True,False,False,Technology
180,0.0,0.0,1.0,0.0,2008-05-23,The Connecting Link,False,20.0,True,False,False,False,True,False,False,Corporation
181,0.0,1.0,0.0,0.0,2008-05-23,AT&T,False,41.0,True,False,False,False,True,False,True,Other
182,0.0,1.0,0.0,0.0,2008-05-25,Jackson National Life Insurance Company,False,2.0,False,False,False,False,False,False,False,Finance
183,0.0,1.0,0.0,0.0,2008-05-27,Jackson National Life Insurance Company,False,6.0,False,False,False,False,False,False,False,Finance
184,0.0,0.0,1.0,0.0,2008-05-27,"RE Moulton, Inc.",False,6.0,True,False,False,False,True,False,True,Corporation
186,0.0,1.0,0.0,0.0,2008-05-27,Vanguard,False,3.0,False,False,False,False,False,False,False,Finance
187,0.0,1.0,0.0,0.0,2008-05-29,State Street Bank and Trust,False,41.0,True,True,False,False,True,False,False,Finance
188,0.0,1.0,0.0,0.0,2008-05-30,Bank of New York Mellon,False,41.0,True,True,False,True,True,False,True,Finance
189,0.0,1.0,0.0,0.0,2008-06-02,1st Source Bank,False,41.0,True,False,False,True,True,False,False,Finance
190,0.0,1.0,0.0,0.0,2008-06-02,SallieMae,False,3.0,True,True,False,False,False,False,False,Finance
191,0.0,1.0,0.0,0.0,2008-06-02,Crabtree & Evelyn,False,26.0,True,False,False,False,True,False,True,Other
192,0.0,0.0,1.0,0.0,2008-06-02,"Gap, Inc.",False,18.0,True,False,False,False,False,False,False,Corporation
193,0.0,1.0,0.0,0.0,2008-06-02,"Ameriprise Financial Services, Inc.",False,41.0,True,True,False,False,True,False,True,Healthcare
194,0.0,1.0,0.0,0.0,2008-06-02,1st Source Bank,False,41.0,True,False,False,True,True,False,False,Finance
195,0.0,1.0,0.0,0.0,2008-06-03,Quest Diagnostics Inc.,False,5.0,True,False,False,False,True,False,True,Healthcare
196,0.0,1.0,0.0,0.0,2008-06-04,Shaughnessy-Kaplan Rehabilitation Hospital,False,1.0,False,False,False,False,False,False,False,Other
197,0.0,0.0,1.0,0.0,2008-06-04,Financial Industry Regulatory Authority,False,5.0,False,True,False,False,False,False,True,Healthcare
198,0.0,1.0,0.0,0.0,2008-06-05,H&R Block,False,16.0,True,False,False,False,True,False,False,Other
199,0.0,1.0,0.0,0.0,2008-06-06,"CA, Inc.",False,22.0,True,False,False,False,False,True,False,Technology
200,0.0,1.0,0.0,0.0,2008-06-09,BearingPoint Management & Technology Consultants,False,7.0,True,False,False,False,True,False,True,Technology
201,0.0,1.0,0.0,0.0,2008-06-09,Enterprise Bank,False,41.0,False,True,False,False,True,False,True,Finance
202,0.0,1.0,0.0,0.0,2008-06-09,"Facebook, Inc.",False,1.0,False,False,True,False,False,False,False,Technology
203,0.0,1.0,0.0,0.0,2008-06-09,"Credit Bureau of Traverse City, Inc.",False,2.0,True,False,False,True,True,False,False,Corporation
204,0.0,1.0,0.0,0.0,2008-06-09,Vanguard,False,2.0,True,True,False,False,False,False,False,Finance
205,0.0,1.0,0.0,0.0,2008-06-09,United Transportation Union,False,41.0,True,False,False,False,False,False,True,Corporation
206,0.0,1.0,0.0,0.0,2008-06-10,Sungard Availability Services (SAS),False,1.0,True,False,False,False,True,False,True,Corporation
207,0.0,1.0,0.0,0.0,2008-06-13,Moravian College,False,10.0,True,False,False,False,True,False,True,Corporation
209,0.0,1.0,0.0,0.0,2008-06-16,Quixtar Inc.,False,3.0,False,False,False,False,False,False,False,Corporation
211,0.0,1.0,0.0,0.0,2008-06-18,TomTom Inc.,False,1.0,False,True,False,False,False,False,False,Technology
212,0.0,0.0,1.0,0.0,2008-06-18,"Highland Capital Brokerage, Inc.",False,2.0,True,False,False,False,False,False,False,Technology
213,0.0,1.0,0.0,0.0,2008-06-19,"Ebara Technologies, Inc",False,23.0,True,True,False,False,False,False,True,Technology
214,0.0,0.0,1.0,0.0,2008-06-20,"All Covered, Inc.",False,41.0,True,True,False,False,False,False,True,Corporation
215,0.0,1.0,0.0,0.0,2008-06-20,"Zhone Technologies, Inc.",False,41.0,True,False,False,False,True,False,True,Technology
216,0.0,0.0,1.0,0.0,2008-06-20,Aon Corporation,False,41.0,True,False,False,False,True,False,True,Corporation
217,0.0,0.0,1.0,0.0,2008-06-20,"Allstate Financial Services, LLC",False,10.0,True,True,False,False,True,False,False,Healthcare
218,0.0,1.0,0.0,0.0,2008-06-23,"Citizens Financial Group, Inc.",False,9.0,False,False,False,False,True,False,False,Healthcare
219,0.0,1.0,0.0,0.0,2008-06-23,Massachusetts Mutual Life Insurance Company,False,5.0,True,False,False,False,True,False,True,Finance
220,0.0,0.0,1.0,0.0,2008-06-23,Xlibris Corporation,False,41.0,False,False,False,True,False,False,False,Corporation
221,0.0,1.0,0.0,0.0,2008-06-23,"Bebe Stores, Inc.",False,41.0,True,False,False,False,False,False,True,Corporation
222,0.0,1.0,0.0,0.0,2008-06-23,Citizens Bank,False,9.0,False,False,False,False,True,False,False,Finance
223,0.0,1.0,0.0,0.0,2008-06-24,"Synopsys, Inc.",False,41.0,True,False,False,False,True,False,True,Technology
224,0.0,1.0,0.0,0.0,2008-06-25,"SunGard Data System, Inc.",False,41.0,True,False,False,False,True,False,True,Corporation
225,0.0,1.0,0.0,0.0,2008-06-25,Heald College,False,2.0,True,False,False,False,False,False,True,Corporation
226,0.0,1.0,0.0,0.0,2008-06-26,St. Vincent's Hospital Vanguard Health Systems,False,2.0,False,False,False,False,True,False,False,Technology
227,0.0,1.0,0.0,0.0,2008-06-26,Nielsen Mobile,False,8.0,True,False,False,False,False,False,True,Technology
228,0.0,1.0,0.0,0.0,2008-06-26,UMass Memorial,False,41.0,False,True,False,False,False,False,False,Other
229,0.0,1.0,0.0,0.0,2008-06-26,JDS Uniphase,False,41.0,True,False,False,False,True,False,True,Technology
230,0.0,1.0,0.0,0.0,2008-06-26,Vanguard Health Systems,False,2.0,False,False,False,False,True,False,False,Technology
231,0.0,1.0,0.0,0.0,2008-06-26,UMass Memorial Medical Center,False,41.0,False,True,False,False,False,False,False,Technology
232,0.0,1.0,0.0,0.0,2008-06-27,Verizon,False,41.0,True,False,False,False,True,False,True,Other
233,0.0,1.0,0.0,0.0,2008-06-27,"Google, Inc.",False,41.0,True,False,False,False,True,False,True,Technology
234,0.0,1.0,0.0,0.0,2008-07-01,National Western Life Insurane company,False,41.0,True,False,False,False,False,False,False,Corporation
235,0.0,1.0,0.0,0.0,2008-07-02,Houghton Mifflin Harcourt,False,11.0,True,False,False,False,True,False,False,Corporation
236,0.0,1.0,0.0,0.0,2008-07-02,Rockland Trust Company,False,2.0,False,False,False,True,False,False,False,Corporation
237,0.0,1.0,0.0,0.0,2008-07-02,Rockland Trust Company,False,2.0,False,False,False,True,False,False,False,Corporation
238,0.0,1.0,0.0,0.0,2008-07-02,Rockland Trust Company,False,2.0,False,False,False,True,False,False,False,Corporation
