,Breach Type Description_Both,Breach Type Description_Electronic,Breach Type Description_Paper,Breach Type Description_Undefined,Organization Categories_Corporation,"Organization Categories_Corporation, State Institution",Organization Categories_Financial,"Organization Categories_Financial, Corporation","Organization Categories_Financial, Corporation, State Institution","Organization Categories_Financial, Health","Organization Categories_Financial, Health, Corporation","Organization Categories_Financial, State Institution",Organization Categories_Health,"Organization Categories_Health, Corporation","Organization Categories_Health, State Institution",Organization Categories_Other,Organization Categories_State Institution,Date Reported To OCA,Organization Name,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2008-01-18,Science Applications International Corporation,False,3.0,False,False,False,True,False,True,False
41,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-01-25,Massachusetts General Physicians Organization (MGPO),False,1.0,True,False,False,False,False,False,False
42,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-01-25,GE Aviation Systems,False,1.0,True,False,False,False,False,False,True
43,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-01-25,Target Financial Services,False,16.0,True,False,False,True,True,False,False
44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-01-25,The Hartford,False,1.0,True,False,False,False,True,False,False
46,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-01-29,Comcast,False,7.0,False,False,False,True,True,False,False
47,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-01-30,Philips Lighting Company,False,4.0,True,False,False,False,True,False,False
51,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-02-05,Canadian Standards Association (CSA),False,2.0,True,False,False,True,False,True,False
53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-02-06,Putnam Investments,False,2.0,True,False,False,False,False,False,False
54,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-02-06,LexisNexis,False,5.0,True,False,True,False,True,False,False
56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-02-07,Salesforce.com,False,38.0,True,False,False,False,False,False,True
57,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-02-08,Vanguard,False,1.0,True,False,False,False,False,True,False
60,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-02-11,Sun Life Financial,False,2.0,False,True,False,False,True,False,False
61,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-02-11,Vanguard,False,1.0,True,False,False,False,False,True,False
62,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-02-13,Bank of America,False,1.0,True,True,False,False,True,False,False
63,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-02-14,MBSC Securities Corporation,False,7.0,False,True,False,False,True,False,False
66,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-02-14,Vanguard,False,3.0,True,False,False,False,False,True,False
67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-02-15,The Hartford,False,3.0,True,False,False,False,True,False,True
68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-02-15,Marlborough Hospital,False,20.0,True,True,False,False,False,False,False
69,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-02-19,QVC,False,1.0,False,True,False,True,False,False,False
70,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-02-19,J. Lohr Vineyards & Wines,False,3.0,True,True,False,False,True,False,True
75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-02-29,Boston Private Bank & Trust Company,False,1.0,True,True,False,True,False,False,False
76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-03-03,Massachusetts Mutual Life Insurance Company,False,1.0,True,False,False,False,False,False,False
77,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-03-05,Vanguard,False,1.0,False,True,False,False,False,False,False
79,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-03-06,"LEAF Financial Corporation Merit Capital Advance, LLC",False,3.0,True,False,False,False,False,False,True
80,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-03-06,Vanguard,False,1.0,False,True,False,False,False,False,False
81,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-03-07,Vanguard,False,1.0,True,False,False,False,False,False,False
82,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-03-07,Education Management Corporation,False,3.0,True,False,False,False,False,False,True
83,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-03-10,Starling Insurance and Associates,False,19.0,True,False,False,False,True,False,True
85,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-03-11,Priority Health,False,13.0,True,False,False,False,False,False,False
89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-03-12,MTV Networks,False,10.0,True,False,False,False,True,False,False
90,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-03-12,The Dental Network,False,15.0,True,False,False,False,True,False,False
91,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-03-12,The Dental Network,True,15.0,True,False,False,False,False,False,False
94,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-03-14,3M,False,25.0,True,False,False,False,True,False,True
95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-03-14,"Toshiba America Information Systems,Inc.",False,1.0,False,False,False,True,True,False,False
96,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-03-18,Northeast Investors Trust and Investors Growth Fund,False,5.0,True,True,False,False,False,False,False
98,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-03-20,Camp Starfish,False,30.0,True,False,False,False,False,False,False
99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-03-21,"Toshiba America Information Systems, Inc.",False,18.0,True,False,False,False,True,False,False
100,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-03-21,Genworth Finanical,False,10.0,True,False,False,False,True,False,True
101,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-03-21,Genica Corporation,False,0.0,False,False,False,True,False,False,False
102,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-03-24,"Pfizer, Inc.",False,15.0,False,False,False,True,True,False,True
103,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-03-24,CitiBank,False,19.0,False,False,False,True,True,False,False
104,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-03-24,"Merrimack Mortgage Company, Inc.",False,2.0,True,False,False,False,True,False,False
105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-03-24,Zurich American Insurance Company,False,19.0,False,False,False,False,True,False,False
106,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-03-25,Genworth Life and Annuity Insurance Company,False,10.0,True,False,False,False,True,False,True
113,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-03-28,Men's Warehouse,False,4.0,True,False,False,False,True,False,False
115,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-03-31,"Marriott International, Inc.",False,3.0,True,False,False,False,True,False,True
116,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-03-31,Synovus Financial Corp.,False,1.0,True,True,False,False,True,False,True
117,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2008-03-31,CitiStreet LLC,False,6.0,True,False,False,False,True,False,True
119,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-04-02,UniCare,False,29.0,True,False,False,False,True,False,False
120,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-04-02,Sentinel Benefits,False,10.0,True,False,False,False,True,False,False
122,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-04-04,Unicare,False,29.0,True,False,False,False,True,False,False
124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-04-07,Siemens Healthcare Diagnostics Inc.,False,15.0,True,False,False,False,True,False,True
125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-04-08,GMAC Insurance,False,1.0,True,False,False,False,True,False,True
127,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-04-11,Stryker Instruments,False,26.0,True,False,False,False,True,False,False
128,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-04-11,Aon Corporation,False,1.0,True,False,False,False,True,False,True
129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-04-11,Fidelity Investments,False,1.0,True,True,False,False,False,False,False
131,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2008-04-14,Marshall & Ilsley Corporation,False,2.0,True,False,False,False,False,False,False
132,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-04-15,Mortgage Network,False,39.0,True,True,False,True,False,False,True
133,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-04-15,Aon Corporation,False,1.0,True,False,False,False,True,False,False
135,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-04-16,The Commonwealth of MA - GIC,False,29.0,True,False,False,False,False,False,False
136,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2008-04-16,Citi,False,2.0,True,False,False,True,True,False,False
137,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-04-17,The Commonwealth of MA - RMV,False,1.0,True,False,True,False,False,False,False
138,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2008-04-17,The Commonwealth of MA - RMV,False,1.0,False,False,True,False,False,False,False
140,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-04-18,X.L. Global Services Inc.,False,3.0,True,False,False,False,True,False,True
141,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-04-21,Columbia Capital LLC,False,10.0,True,True,False,False,False,False,True
144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-04-22,SPX Corporation,False,3.0,True,True,False,False,True,False,True
145,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-04-22,Mass General Hospital,False,34.0,True,False,False,False,False,False,True
147,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-04-23,"Ameriprise Financial, Inc.",False,10.0,True,False,False,False,True,False,False
153,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-04-28,Yeshiva University,False,4.0,True,True,False,False,False,False,True
154,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-04-28,HSBC Retail Services,False,22.0,False,False,False,True,False,False,False
156,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-05-05,"Kindred Rehab Sercvices, Inc.",False,1.0,True,False,False,False,False,False,True
157,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2008-05-05,Sterling Jewelers Inc.,True,21.0,False,False,False,True,False,False,False
158,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-05-05,LPL Financial Corporation,False,22.0,True,True,False,False,True,False,False
160,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-05-05,LPL Financial Corporation,False,1.0,True,True,False,False,True,False,True
162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-05-05,Argosy University,False,22.0,True,False,False,False,True,False,True
163,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-05-05,"Adobe Systems Incorporated (""Adobe"")",False,14.0,False,True,True,False,True,False,False
164,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-05-06,Rehabilitation Hospital of the Cape and Islands,False,26.0,True,False,False,False,False,False,False
165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2008-05-07,Boch Enterprises,False,1.0,True,True,False,False,False,False,False
166,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-05-08,LPL Financial Corporation,False,1.0,True,True,False,False,True,False,False
167,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2008-05-09,Bryant & Stratton College,False,3.0,True,False,False,False,True,False,True
170,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-05-12,Vanguard,False,1.0,False,True,False,False,False,False,False
171,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-05-12,BearingPoint Management & Technology Consultants,False,7.0,True,False,False,False,True,False,True
172,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2008-05-12,Rockland Trust Company,False,35.0,False,False,False,True,False,False,False
174,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-05-16,Capella University,False,1.0,True,False,False,False,False,False,False
176,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-05-19,Vanguard,False,1.0,False,True,False,False,False,False,False
177,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-05-19,Automotive Events,False,1.0,True,False,False,False,False,False,True
179,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-05-22,"Citi - CAI Hedge Fund Partners, LLC",False,5.0,True,False,False,False,True,False,False
180,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-05-23,The Connecting Link,False,20.0,True,False,False,False,True,False,False
182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-05-25,Jackson National Life Insurance Company,False,2.0,False,False,False,False,False,False,False
183,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-05-27,Jackson National Life Insurance Company,False,6.0,False,False,False,False,False,False,False
184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-05-27,"RE Moulton, Inc.",False,6.0,True,False,False,False,True,False,True
186,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-05-27,Vanguard,False,3.0,False,False,False,False,False,False,False
190,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-06-02,SallieMae,False,3.0,True,True,False,False,False,False,False
191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-06-02,Crabtree & Evelyn,False,26.0,True,False,False,False,True,False,True
192,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-06-02,"Gap, Inc.",False,18.0,True,False,False,False,False,False,False
195,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-06-03,Quest Diagnostics Inc.,False,5.0,True,False,False,False,True,False,True
196,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-06-04,Shaughnessy-Kaplan Rehabilitation Hospital,False,1.0,False,False,False,False,False,False,False
197,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2008-06-04,Financial Industry Regulatory Authority,False,5.0,False,True,False,False,False,False,True
198,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2008-06-05,H&R Block,False,16.0,True,False,False,False,True,False,False
199,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-06-06,"CA, Inc.",False,22.0,True,False,False,False,False,True,False
200,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2008-06-09,BearingPoint Management & Technology Consultants,False,7.0,True,False,False,False,True,False,True
202,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008-06-09,"Facebook, Inc.",False,1.0,False,False,True,False,False,False,False
