,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
126,2008-04-10,"Interbank FX, LLC",Electronic,False,126.0,True,False,False,False,True,False,False
127,2008-04-11,Stryker Instruments,Electronic,False,26.0,True,False,False,False,True,False,False
128,2008-04-11,Aon Corporation,Electronic,False,1.0,True,False,False,False,True,False,True
129,2008-04-11,Fidelity Investments,Paper,False,1.0,True,True,False,False,False,False,False
131,2008-04-14,Marshall & Ilsley Corporation,Electronic,False,2.0,True,False,False,False,False,False,False
132,2008-04-15,Mortgage Network,Electronic,False,39.0,True,True,False,True,False,False,True
133,2008-04-15,Aon Corporation,Paper,False,1.0,True,False,False,False,True,False,False
134,2008-04-16,"Purdue Pharma, LP",Electronic,False,74.0,True,True,False,False,True,False,True
135,2008-04-16,The Commonwealth of MA - GIC,Electronic,False,29.0,True,False,False,False,False,False,False
136,2008-04-16,Citi,Paper,False,2.0,True,False,False,True,True,False,False
137,2008-04-17,The Commonwealth of MA - RMV,Electronic,False,1.0,True,False,True,False,False,False,False
138,2008-04-17,The Commonwealth of MA - RMV,Paper,False,1.0,False,False,True,False,False,False,False
139,2008-04-17,Central New England Health Alliance,Electronic,False,384.0,True,False,False,False,False,False,True
140,2008-04-18,X.L. Global Services Inc.,Electronic,False,3.0,True,False,False,False,True,False,True
141,2008-04-21,Columbia Capital LLC,Electronic,False,10.0,True,True,False,False,False,False,True
142,2008-04-22,The Commonwealth of MA - DPL,Paper,False,57.0,True,False,False,False,True,False,False
143,2008-04-22,Lending Tree,Electronic,False,48806.0,True,False,False,False,False,False,False
144,2008-04-22,SPX Corporation,Electronic,False,3.0,True,True,False,False,True,False,True
145,2008-04-22,Mass General Hospital,Electronic,False,34.0,True,False,False,False,False,False,True
146,2008-04-22,Swimwear Boutique.com,Electronic,False,323.0,False,False,False,True,True,False,False
147,2008-04-23,"Ameriprise Financial, Inc.",Paper,False,10.0,True,False,False,False,True,False,False
148,2008-04-23,Sterling Commerce,Electronic,False,326.0,True,False,False,False,True,False,False
150,2008-04-24,Promissor,Paper,False,57.0,True,False,False,False,True,False,False
151,2008-04-25,The Commonwealth of MA Teachers' Retirement System,Electronic,False,1200.0,True,False,False,False,False,False,False
153,2008-04-28,Yeshiva University,Electronic,False,4.0,True,True,False,False,False,False,True
154,2008-04-28,HSBC Retail Services,Electronic,False,22.0,False,False,False,True,False,False,False
155,2008-04-28,Bank of America,Paper,False,53.0,True,False,False,False,True,False,False
156,2008-05-05,"Kindred Rehab Sercvices, Inc.",Electronic,False,1.0,True,False,False,False,False,False,True
157,2008-05-05,Sterling Jewelers Inc.,Paper,True,21.0,False,False,False,True,False,False,False
158,2008-05-05,LPL Financial Corporation,Electronic,False,22.0,True,True,False,False,True,False,False
159,2008-05-05,LPL Financial Corporation,Electronic,False,53.0,True,True,False,False,True,False,True
160,2008-05-05,LPL Financial Corporation,Electronic,False,1.0,True,True,False,False,True,False,True
161,2008-05-05,LPL Financial Corporation,Electronic,False,114.0,True,True,False,False,True,False,True
162,2008-05-05,Argosy University,Electronic,False,22.0,True,False,False,False,True,False,True
163,2008-05-05,"Adobe Systems Incorporated (""Adobe"")",Electronic,False,14.0,False,True,True,False,True,False,False
164,2008-05-06,Rehabilitation Hospital of the Cape and Islands,Both,False,26.0,True,False,False,False,False,False,False
165,2008-05-07,Boch Enterprises,Paper,False,1.0,True,True,False,False,False,False,False
166,2008-05-08,LPL Financial Corporation,Electronic,False,1.0,True,True,False,False,True,False,False
167,2008-05-09,Bryant & Stratton College,Electronic,False,3.0,True,False,False,False,True,False,True
168,2008-05-09,Progressive Insurance,Paper,False,46.0,False,False,True,False,False,False,False
169,2008-05-12,Sodexo,Electronic,False,835.0,True,False,False,False,False,False,True
170,2008-05-12,Vanguard,Paper,False,1.0,False,True,False,False,False,False,False
171,2008-05-12,BearingPoint Management & Technology Consultants,Electronic,False,7.0,True,False,False,False,True,False,True
172,2008-05-12,Rockland Trust Company,Electronic,False,35.0,False,False,False,True,False,False,False
173,2008-05-15,The Commonwealth of MA - DOI,Paper,False,50.0,True,False,True,False,False,False,False
174,2008-05-16,Capella University,Electronic,False,1.0,True,False,False,False,False,False,False
175,2008-05-16,Axcess Financial,Electronic,False,47.0,True,False,False,False,False,False,False
176,2008-05-19,Vanguard,Paper,False,1.0,False,True,False,False,False,False,False
177,2008-05-19,Automotive Events,Electronic,False,1.0,True,False,False,False,False,False,True
178,2008-05-19,Wells Fargo,Electronic,False,114.0,True,True,False,False,False,False,False
179,2008-05-22,"Citi - CAI Hedge Fund Partners, LLC",Electronic,False,5.0,True,False,False,False,True,False,False
180,2008-05-23,The Connecting Link,Electronic,False,20.0,True,False,False,False,True,False,False
181,2008-05-23,AT&T,Electronic,False,621.0,True,False,False,False,True,False,True
182,2008-05-25,Jackson National Life Insurance Company,Electronic,False,2.0,False,False,False,False,False,False,False
183,2008-05-27,Jackson National Life Insurance Company,Paper,False,6.0,False,False,False,False,False,False,False
184,2008-05-27,"RE Moulton, Inc.",Electronic,False,6.0,True,False,False,False,True,False,True
186,2008-05-27,Vanguard,Paper,False,3.0,False,False,False,False,False,False,False
187,2008-05-29,State Street Bank and Trust,Electronic,False,10000.0,True,True,False,False,True,False,False
188,2008-05-30,Bank of New York Mellon,Electronic,False,162162.0,True,True,False,True,True,False,True
189,2008-06-02,1st Source Bank,Electronic,False,101.0,True,False,False,True,True,False,False
190,2008-06-02,SallieMae,Paper,False,3.0,True,True,False,False,False,False,False
191,2008-06-02,Crabtree & Evelyn,Electronic,False,26.0,True,False,False,False,True,False,True
192,2008-06-02,"Gap, Inc.",Paper,False,18.0,True,False,False,False,False,False,False
193,2008-06-02,"Ameriprise Financial Services, Inc.",Electronic,False,81.0,True,True,False,False,True,False,True
194,2008-06-02,1st Source Bank,Electronic,False,111.0,True,False,False,True,True,False,False
195,2008-06-03,Quest Diagnostics Inc.,Electronic,False,5.0,True,False,False,False,True,False,True
196,2008-06-04,Shaughnessy-Kaplan Rehabilitation Hospital,Paper,False,1.0,False,False,False,False,False,False,False
197,2008-06-04,Financial Industry Regulatory Authority,Electronic,False,5.0,False,True,False,False,False,False,True
198,2008-06-05,H&R Block,Electronic,False,16.0,True,False,False,False,True,False,False
199,2008-06-06,"CA, Inc.",Electronic,False,22.0,True,False,False,False,False,True,False
200,2008-06-09,BearingPoint Management & Technology Consultants,Electronic,False,7.0,True,False,False,False,True,False,True
201,2008-06-09,Enterprise Bank,Electronic,False,4650.0,False,True,False,False,True,False,True
202,2008-06-09,"Facebook, Inc.",Electronic,False,1.0,False,False,True,False,False,False,False
203,2008-06-09,"Credit Bureau of Traverse City, Inc.",Electronic,False,2.0,True,False,False,True,True,False,False
204,2008-06-09,Vanguard,Paper,False,2.0,True,True,False,False,False,False,False
205,2008-06-09,United Transportation Union,Electronic,False,90.0,True,False,False,False,False,False,True
206,2008-06-10,Sungard Availability Services (SAS),Electronic,False,1.0,True,False,False,False,True,False,True
207,2008-06-13,Moravian College,Electronic,False,10.0,True,False,False,False,True,False,True
209,2008-06-16,Quixtar Inc.,Electronic,False,3.0,False,False,False,False,False,False,False
211,2008-06-18,TomTom Inc.,Paper,False,1.0,False,True,False,False,False,False,False
212,2008-06-18,"Highland Capital Brokerage, Inc.",Electronic,False,2.0,True,False,False,False,False,False,False
213,2008-06-19,"Ebara Technologies, Inc",Electronic,False,23.0,True,True,False,False,False,False,True
214,2008-06-20,"All Covered, Inc.",Electronic,False,89.0,True,True,False,False,False,False,True
215,2008-06-20,"Zhone Technologies, Inc.",Electronic,False,55.0,True,False,False,False,True,False,True
216,2008-06-20,Aon Corporation,Electronic,False,3694.0,True,False,False,False,True,False,True
217,2008-06-20,"Allstate Financial Services, LLC",Electronic,False,10.0,True,True,False,False,True,False,False
218,2008-06-23,"Citizens Financial Group, Inc.",Electronic,False,9.0,False,False,False,False,True,False,False
219,2008-06-23,Massachusetts Mutual Life Insurance Company,Electronic,False,5.0,True,False,False,False,True,False,True
220,2008-06-23,Xlibris Corporation,Electronic,False,90.0,False,False,False,True,False,False,False
221,2008-06-23,"Bebe Stores, Inc.",Electronic,False,471.0,True,False,False,False,False,False,True
222,2008-06-23,Citizens Bank,Electronic,False,9.0,False,False,False,False,True,False,False
223,2008-06-24,"Synopsys, Inc.",Electronic,False,155.0,True,False,False,False,True,False,True
224,2008-06-25,"SunGard Data System, Inc.",Electronic,False,300.0,True,False,False,False,True,False,True
225,2008-06-25,Heald College,Electronic,False,2.0,True,False,False,False,False,False,True
226,2008-06-26,St. Vincent's Hospital Vanguard Health Systems,Paper,False,2.0,False,False,False,False,True,False,False
227,2008-06-26,Nielsen Mobile,Electronic,False,8.0,True,False,False,False,False,False,True
228,2008-06-26,UMass Memorial,Paper,False,79.0,False,True,False,False,False,False,False
229,2008-06-26,JDS Uniphase,Electronic,False,1194.0,True,False,False,False,True,False,True
230,2008-06-26,Vanguard Health Systems,Paper,False,2.0,False,False,False,False,True,False,False
231,2008-06-26,UMass Memorial Medical Center,Paper,False,79.0,False,True,False,False,False,False,False
232,2008-06-27,Verizon,Electronic,False,3696.0,True,False,False,False,True,False,True
233,2008-06-27,"Google, Inc.",Electronic,False,67.0,True,False,False,False,True,False,True
234,2008-07-01,National Western Life Insurane company,Paper,False,87.0,True,False,False,False,False,False,False
235,2008-07-02,Houghton Mifflin Harcourt,Electronic,False,11.0,True,False,False,False,True,False,False
236,2008-07-02,Rockland Trust Company,Electronic,False,2.0,False,False,False,True,False,False,False
237,2008-07-02,Rockland Trust Company,Electronic,False,2.0,False,False,False,True,False,False,False
238,2008-07-02,Rockland Trust Company,Electronic,False,2.0,False,False,False,True,False,False,False
239,2008-07-02,Rockland Trust Company,Electronic,False,32.0,False,False,False,True,False,False,False
240,2008-07-02,Rockland Trust Company,Electronic,False,1.0,False,False,False,True,False,False,False
241,2008-07-02,Rockland Trust Company,Electronic,False,51.0,False,False,False,True,False,False,False
242,2008-07-02,Rockland Trust Company,Electronic,False,4.0,False,False,False,True,False,False,False
243,2008-07-02,Rockland Trust Company,Electronic,False,20.0,False,False,False,True,False,False,False
244,2008-07-02,Rockland Trust Company,Electronic,False,4.0,False,False,False,True,False,False,False
245,2008-07-02,Rockland Trust Company,Electronic,False,38.0,False,False,False,True,False,False,False
246,2008-07-02,Rockland Trust Company,Electronic,False,9.0,False,False,False,True,False,False,False
247,2008-07-02,Rockland Trust Company,Electronic,False,1.0,False,False,False,True,False,False,False
248,2008-07-02,Rockland Trust Company,Electronic,False,1.0,False,False,False,True,False,False,False
249,2008-07-02,Rockland Trust Company,Electronic,False,1.0,False,False,False,True,False,False,False
250,2008-07-02,Rockland Trust Company,Electronic,False,1.0,False,False,False,True,False,False,False
252,2008-07-07,"Fischbach, LLC",Electronic,False,2.0,True,False,False,False,True,False,True
253,2008-07-07,"Direct Marketing Services, Inc.",Electronic,False,1402.0,False,False,False,True,True,False,False
254,2008-07-07,Fremont Group,Electronic,False,1.0,True,False,False,False,True,False,True
256,2008-07-07,Vanguard,Paper,False,1.0,False,True,False,False,False,False,False
257,2008-07-08,New England Baptist Hospital,Paper,False,10.0,False,True,False,False,True,False,False
258,2008-07-09,Bowdoin College,Electronic,False,2791.0,True,False,False,False,False,False,False
259,2008-07-11,Willis Group Holdings Limited,Electronic,False,1784.0,True,True,False,False,True,False,True
260,2008-07-14,Stanadyne Corporation,Electronic,False,105.0,True,False,False,False,True,False,True
261,2008-07-14,Oakland University,Electronic,False,2.0,True,False,False,False,True,False,True
262,2008-07-14,Bristol-Myers Squibb Company,Electronic,False,1921.0,True,False,False,False,True,False,True
263,2008-07-14,"R.H.Donnelley, Inc.",Electronic,False,150.0,True,False,False,False,True,False,True
264,2008-07-14,"Gilead Sciences, Inc.",Electronic,False,38.0,True,False,False,False,True,False,True
265,2008-07-15,Heinemann-Raintree Publishers,Electronic,False,69.0,False,False,False,True,False,False,False
266,2008-07-15,Rockland Trust Company,Electronic,False,38.0,False,False,False,True,False,False,False
267,2008-07-15,Rockland Trust Company,Electronic,False,1.0,False,False,False,True,False,False,False
268,2008-07-15,Rockland Trust Company,Electronic,False,1.0,False,False,False,True,False,False,False
269,2008-07-17,Honeywell International Inc.,Electronic,False,2.0,False,True,False,False,True,False,False
270,2008-07-17,"Integrated Device Technology, Inc.",Electronic,False,56.0,True,False,False,False,True,False,True
271,2008-07-17,"24 Hour Fitness USA, Inc.",Electronic,False,23.0,True,False,False,False,True,False,True
272,2008-07-17,"Exponent, Inc.",Electronic,False,204.0,True,False,False,False,True,False,True
273,2008-07-21,TeleAtlas,Electronic,False,46.0,True,False,False,False,True,False,True
274,2008-07-21,The Commonwealth of MA - Health Insurance Connector Authority,Electronic,False,1.0,True,False,False,False,False,False,False
275,2008-07-21,Rockland Trust Company,Electronic,False,1.0,False,False,False,True,False,False,False
276,2008-07-22,Beth Israel Deaconess Health Care,Paper,False,22.0,False,True,False,False,False,False,False
277,2008-07-25,Anheuser Busch,Electronic,False,2811.0,True,False,False,False,True,True,True
278,2008-07-25,LPL Financial Corporation,Electronic,False,3.0,True,True,False,False,True,False,True
279,2008-07-25,Bank of America,Paper,False,53.0,True,False,False,False,True,False,False
280,2008-07-28,"Kana Software, Inc.",Electronic,False,119.0,True,False,False,False,False,False,True
281,2008-07-28,Colt Express Outsourcing Services Inc.,Electronic,False,10.0,True,False,False,False,True,False,True
282,2008-07-28,Macro International Inc.,Electronic,False,9.0,True,False,False,False,True,False,False
283,2008-07-28,Huron Consulting Group,Both,False,162.0,True,True,False,False,True,False,False
284,2008-07-29,HSBC Auto Finance Inc.,Electronic,False,15.0,True,True,False,False,True,False,False
285,2008-07-29,The Walt Disney Company,Electronic,False,33366.0,True,True,False,False,True,False,True
286,2008-07-30,Boston Medical Center HealthNet Plan,Electronic,False,3.0,True,False,False,False,True,False,True
287,2008-07-30,"Franklin Templeton Investor Services, LLC",Paper,False,1.0,True,True,False,False,False,False,False
288,2008-07-30,Bank of New York Mellon,Paper,False,30.0,True,False,False,False,False,False,False
289,2008-07-31,Northeastern University,Electronic,False,61.0,True,False,False,False,False,False,False
290,2008-07-31,New York Life Insurance Company,Electronic,False,41.0,True,True,False,False,True,False,False
291,2008-07-31,Rockland Trust Company,Paper,False,1.0,True,True,False,True,False,False,False
292,2008-08-01,Wells Fargo,Electronic,False,117.0,True,False,True,True,True,False,False
294,2008-08-05,Alaska Airlines,Paper,False,2.0,False,True,False,True,False,False,False
295,2008-08-07,Northeastern University,Both,False,7.0,True,True,False,False,False,False,False
297,2008-08-08,Jackson National Life Insurance Company,Paper,True,1.0,False,True,False,False,False,False,False
298,2008-08-11,GMAC Mortgage,Paper,False,2.0,False,True,False,False,True,False,False
299,2008-08-11,GMAC Ditech,Paper,False,2.0,True,True,False,True,True,False,False
300,2008-08-11,Blue Cross Blue Shield of Georgia,Paper,False,13.0,True,False,False,False,False,False,False
301,2008-08-11,Charter Communications,Electronic,False,472.0,True,False,True,False,True,False,True
302,2008-08-12,Vanguard,Paper,False,1.0,False,True,False,False,False,False,False
303,2008-08-12,USAA Brokerage Services,Electronic,False,1.0,True,True,False,False,False,False,True
304,2008-08-12,Goldman Sachs & Co.,Electronic,False,134.0,True,True,False,False,False,False,True
305,2008-08-12,Countrywide,Undefined,True,3.0,True,False,False,False,True,False,False
306,2008-08-12,The Hartford,Electronic,False,8.0,True,True,False,False,True,False,False
307,2008-08-14,Rockland Trust Company,Electronic,False,10.0,False,False,False,True,False,False,False
308,2008-08-14,Rockland Trust Company,Electronic,False,2.0,False,False,False,True,False,False,False
309,2008-08-14,Rockland Trust Company,Electronic,False,6.0,False,False,False,True,False,False,False
310,2008-08-14,The Commonwealth of MA - DOR,Electronic,False,4.0,True,False,False,False,False,False,False
311,2008-08-14,The Commonwealth of MA - DOR,Electronic,False,4.0,True,False,False,False,False,False,False
312,2008-08-14,The Commonwealth of MA - DOR,Electronic,False,2.0,True,False,False,False,False,False,False
313,2008-08-14,The Commonwealth of MA - DOR,Electronic,False,1.0,True,False,False,False,False,False,False
314,2008-08-14,The Commonwealth of MA - DOR,Electronic,False,2.0,True,False,False,False,False,False,False
315,2008-08-14,The Commonwealth of MA - DOR,Electronic,False,1.0,True,False,False,False,False,False,False
316,2008-08-19,Centillium Communications,Electronic,False,4.0,True,False,False,False,False,False,True
317,2008-08-20,InterActive Financial Marketing Group,Electronic,False,1750.0,True,False,False,False,True,False,False
318,2008-08-21,Sheridan State Bank,Electronic,False,8.0,True,True,False,False,True,False,True
319,2008-08-21,First State Bank of Pinedale,Electronic,False,4.0,True,True,False,False,True,False,True
320,2008-08-21,Pine Manor College,Both,False,2.0,True,False,False,False,True,False,False
321,2008-08-21,First State Bank of Pinedale,Undefined,False,4.0,True,True,False,False,True,False,False
