Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen,,,
28989,2/6/2023,"Gordon, Dodson, Gordon & Rowlett",Electronic,Yes,3,Yes,Yes,,,Yes,,,,,
28990,2/6/2023,Bay State Bank,Electronic,Yes,0,Yes,Yes,,Yes,,,,,,
28991,2/6/2023,Alan Goldman P.C.,Electronic,Yes,3,Yes,Yes,,,Yes,,,,,
28992,2/6/2023,St. Marys Credit Union,Electronic,,1,,,,Yes,,,,,,
28993,2/7/2023,Care Dimensions,Electronic,Yes,1231,,,,Yes,,,,,,
28996,2/8/2023,"Apex Tool Group, LLC",Electronic,Yes,5,Yes,Yes,Yes,,Yes,,,,,
28997,2/8/2023,Berkeley Repertory Theatre,Electronic,,1,Yes,,Yes,,Yes,,,,,
28998,2/9/2023,Rockland Trust,Electronic,Yes,1,,Yes,,,Yes,,,,,
28999,2/9/2023,Rockland Trust,Electronic,,1,,Yes,,,Yes,,,,,
29000,2/9/2023,Rockland Trust,Electronic,Yes,1,,Yes,,,Yes,,,,,
29001,2/9/2023,The Village Bank,Electronic,,1,,,,Yes,,,,,,
29002,2/9/2023,Business Insurance & Benefits Services of Massachusetts,Electronic,Yes,5,,,Yes,,Yes,,,,,
29003,2/9/2023,Paragon Medical,Electronic,Yes,19,Yes,Yes,,,Yes,,,,,
29004,2/9/2023,Rogin Nassau LLC,Electronic,Yes,10,Yes,Yes,,Yes,Yes,,,,,
29047,2/9/2023,Eastern Bank,Electronic,,52,,,,Yes,Yes,,,,,
28995,2/9/2023,Rockland Trust,Paper,Yes,1,,Yes,,,Yes,,,,,
30134,2/9/2023,Delaware Life Insurance Company,Electronic,,770,Yes,,,,Yes,,,,,
29005,2/10/2023,"Silver Hill Hospital, Inc.",Electronic,Yes,2,,,,,,,,,,
29006,2/10/2023,St. Mary¶s Bank,Electronic,Yes,9,Yes,Yes,Yes,,Yes,,,,,
29007,2/10/2023,The Village Bank,Electronic,,2,,,,Yes,,,,,,
29008,2/10/2023,"Amotec, Inc.",Electronic,Yes,4,Yes,Yes,Yes,,Yes,,,,,
29009,2/10/2023,Adams Community Bank,Electronic,,1,,,,Yes,,,,,,
29010,2/10/2023,WINCHESTER SAVINGS BANK,Electronic,,20,,,,Yes,,,,,,
29011,2/10/2023,"Skin MD, PLLC",Paper,Yes,12,Yes,,Yes,,Yes,,,,,
29012,2/10/2023,"Lynn Community Health, Inc.",Electronic,Yes,490,,,,,,,,,,
29013,2/10/2023,Pepsi Bottling Ventures LLC,Electronic,Yes,28,Yes,Yes,Yes,Yes,Yes,,,,,
29014,2/10/2023,Town of Brookline,Electronic,Yes,12,Yes,,,,,,,,,
29015,2/10/2023,"Arhaus, LLC",Electronic,Yes,132,Yes,Yes,,,Yes,,,,,
29016,2/10/2023,Gries Financial Partners,Electronic,Yes,17,Yes,Yes,Yes,,Yes,,,,,
29017,2/10/2023,Intelligent Business Solutions,Electronic,Yes,4,Yes,,,,Yes,,,,,
29018,2/13/2023,"American Express Travel Related Services Company, Inc.",Electronic,,47,,,,Yes,,,,,,
29019,2/13/2023,"American Express Travel Related Services Company, Inc.",Electronic,,2,,,,Yes,,,,,,
29020,2/13/2023,Credit Suisse Group AG,Electronic,Yes,1667,Yes,Yes,,Yes,Yes,,,,,
29021,2/13/2023,"Nune Khachatrian CPA, P.C./Town CPA",Electronic,Yes,250,Yes,Yes,,,Yes,,,,,
29022,2/14/2023,"American Express Travel Related Services Company, Inc.",Electronic,,121,,,,Yes,,,,,,
29023,2/14/2023,"American Express Travel Related Services Company, Inc.",Electronic,,1,,,,Yes,,,,,,
29024,2/14/2023,"American Express Travel Related Services Company, Inc.",Electronic,,1,,,,Yes,,,,,,
29025,2/14/2023,Mass General Brigham,Electronic,Yes,1,,,,,,,,,,
29026,2/14/2023,Mount Saint Mary College,Electronic,Yes,61,Yes,Yes,,,Yes,,,,,
29048,2/14/2023,Main Street Bank,Electronic,,1,,Yes,,Yes,,,,,,
29028,2/14/2023,Mass General Brigham,Paper,Yes,1,,,,,,,,,,
29032,2/14/2023,The Donovan Company,Electronic,Yes,1,Yes,,,,Yes,,,,,
29033,2/14/2023,"American Express Travel Related Services Company, Inc.",Electronic,,1,,,,Yes,,,,,,
29034,2/15/2023,William Warren Properties,Electronic,Yes,3,Yes,Yes,,,Yes,,,,,
29035,2/15/2023,UBS Financial Services,Paper,Yes,75,Yes,Yes,,,Yes,,,,,
29029,2/15/2023,"TIAA, FSB",Electronic,Yes,1,,Yes,,,Yes,,,,,
29030,2/15/2023,"Wells Fargo Bank, N.A.",Paper,Yes,1,,Yes,,,Yes,,,,,
29031,2/15/2023,"American Express Travel Related Services Company, Inc.",Electronic,,3,,,,Yes,,,,,,
29037,2/15/2023,"MKS Instruments, Inc.",Electronic,Yes,1045,Yes,Yes,,,Yes,,,,,
29038,2/15/2023,"Town of Stowe, Vermont",Electronic,Yes,2,Yes,,,,Yes,,,,,
29027,2/15/2023,"Logic Global, Inc.",Electronic,Yes,2,Yes,,,,Yes,,,,,
29039,2/16/2023,WINCHESTER SAVINGS BANK,Electronic,,5,,,,Yes,,,,,,
29040,2/16/2023,"O'Neal Industries, Inc.",Electronic,Yes,69,Yes,,,,Yes,,,,,
29041,2/16/2023,"MITCON, LLC",Electronic,Yes,2,Yes,,,,Yes,,,,,
29042,2/16/2023,"American Express Travel Related Services Company, Inc.",Electronic,,1,,,,Yes,,,,,,
29043,2/16/2023,Dr. Frank Dalgin,Electronic,Yes,1,,,,,,,,,,
29036,2/16/2023,The Title Group,Electronic,Yes,1,Yes,,,,Yes,,,,,
29055,2/16/2023,Synergy Equipment,Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
29056,2/16/2023,Paul Smith's College,Electronic,Yes,259,Yes,,,,Yes,,,,,
29057,2/17/2023,Warren County Community College,Electronic,Yes,2,Yes,,Yes,,Yes,,,,,
29058,2/17/2023,C.S. McCrossan Inc.,Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
29059,2/17/2023,Stanford University,Electronic,Yes,28,Yes,,,,Yes,,,,,
29060,2/17/2023,Bank of America,Paper,Yes,2,Yes,Yes,,,Yes,,,,,
29051,2/17/2023,"Steven Engineering, Inc.",Electronic,Yes,2,,Yes,,,,,,,,
29052,2/17/2023,Tom James Company,Electronic,Yes,120,Yes,,,,Yes,,,,,
29053,2/17/2023,Anthony-Thomas Candy Company,Electronic,Yes,7,,,,Yes,,,,,,
29054,2/17/2023,Silicon Valley Bank Financial Group,Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
29044,2/17/2023,"Capital One, National Association",Electronic,Yes,1,,,,Yes,Yes,,,,,
29045,2/17/2023,Warren County Community College,Paper,Yes,2,Yes,,,,Yes,,,,,
29046,2/17/2023,Main Street Bank,Electronic,Yes,1,,Yes,,,,,,,,
29089,2/17/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29067,2/17/2023,"Brooks Jucha & Associates Insurance Services, Inc. d/b/a BJA Partners",Electronic,Yes,3,Yes,,,,Yes,,,,,
29068,2/17/2023,"Rockler Companies, Inc",Electronic,Yes,226,Yes,Yes,Yes,Yes,Yes,,,,,
29069,2/20/2023,Xavier University of Louisiana,Electronic,Yes,104,Yes,,,,Yes,,,,,
29070,2/20/2023,"American Express Travel Related Services Company, Inc.",Electronic,,3,,,,Yes,,,,,,
29071,2/20/2023,"Cleveland Brothers Holding, Inc.",Electronic,Yes,9,Yes,Yes,Yes,,Yes,,,,,
29072,2/21/2023,The Village Bank,Electronic,,1,,,,Yes,,,,,,
29083,2/21/2023,"American Express Travel Related Services Company, Inc.",Electronic,,159,,,,Yes,,,,,,
29084,2/21/2023,American Guild of Musical Artists,Electronic,Yes,5,Yes,Yes,Yes,,Yes,,,,,
29085,2/21/2023,Advantage Benefit Solutions,Electronic,Yes,1,Yes,,,,Yes,,,,,
29086,2/21/2023,Second Alpha Partners,Electronic,Yes,2,Yes,Yes,,,Yes,,,,,
29087,2/21/2023,Marquette Management Inc.,Electronic,Yes,1,Yes,,,,Yes,,,,,
29088,2/21/2023,"TIAA, FSB",Electronic,Yes,60,Yes,Yes,,Yes,Yes,,,,,
29049,2/21/2023,"Woodmeister Master Builders, Inc.",Electronic,Yes,1300,Yes,Yes,Yes,,Yes,,,,,
29050,2/21/2023,"3D Diagnostix, Inc.",Electronic,,64,,,,Yes,Yes,,,,,
29061,2/21/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29062,2/21/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29063,2/21/2023,Mass General Brigham,Electronic,Yes,1,,,,,,,,,,
29064,2/21/2023,Evergreen Treatment Services,Electronic,,7,Yes,,,,Yes,,,,,
29065,2/21/2023,The University of Massachusetts Chan Medical School,Electronic,Yes,1,Yes,,,,,,,,,
29066,2/21/2023,"S&K Manufacturing, Inc.",Electronic,Yes,21,,,,Yes,,,,,,
29073,2/22/2023,News Corporation,Electronic,Yes,1,Yes,,,,Yes,,,,,
29074,2/22/2023,"American Express Travel Related Services Company, Inc.",Electronic,,1,,,,Yes,,,,,,
29075,2/22/2023,Fioravanti Custom Products LLC dba Essential Wholesale & Labs,Electronic,Yes,31,,,,Yes,,,,,,
29076,2/22/2023,"American Express Travel Related Services Company, Inc.",Electronic,,7,,,,Yes,,,,,,
29077,2/22/2023,Carefree/Scott Fetzer Company d/b/a Carefree of Colorado,Electronic,Yes,1,,,,,Yes,,,,,
29078,2/22/2023,Crockett & Myers Associates,Electronic,,11,Yes,,,,Yes,,,,,
29079,2/22/2023,"Alvaria, Inc.",Electronic,Yes,455,Yes,Yes,Yes,,Yes,,,,,
29080,2/22/2023,Riverside Community Care,Electronic,Yes,2,,,,,,,,,,
29081,2/22/2023,Eagle Bank,Electronic,,1,,,,Yes,,,,,,
29082,2/22/2023,Crum & Forster,Electronic,Yes,20,Yes,,,,Yes,,,,,
29092,2/23/2023,SAVERS BANK,Electronic,,2,,,,Yes,,,,,,
29094,2/23/2023,SAVERS BANK,Electronic,,1,,,,Yes,,,,,,
29097,2/23/2023,Coastal Heritage Bank,Electronic,Yes,285,Yes,Yes,Yes,,Yes,,,,,
29098,2/24/2023,Ned Stevens Gutter Cleaning,Electronic,Yes,163,Yes,Yes,,,Yes,,,,,
29095,2/24/2023,Dental & Health Management Solutions,Electronic,Yes,9,Yes,Yes,Yes,Yes,Yes,,,,,
29096,2/24/2023,"Pediatrics West, P.C.",Electronic,Yes,14,Yes,,,,Yes,,,,,
29090,2/24/2023,"Center for Counseling and Wellness, LLC",Electronic,Yes,4,Yes,,,,Yes,,,,,
29091,2/24/2023,"DRT, LLC",Electronic,Yes,22,Yes,,,,Yes,,,,,
29100,2/24/2023,Quo Vadis Financial Management,Electronic,Yes,1,Yes,,,,Yes,,,,,
29101,2/24/2023,Crystal Bay Casino,Electronic,Yes,476,Yes,,Yes,,Yes,,,,,
29102,2/24/2023,"Grandfield & Dodd, LLC",Electronic,Yes,3,Yes,,,,Yes,,,,,
29103,2/24/2023,David Douglas School District,Electronic,Yes,29,Yes,,,,Yes,,,,,
29099,2/25/2023,Winchester Savings Bank,Electronic,,13,,,,Yes,,,,,,
