Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
165,12/20/07,Family Health Center of Worcester,Undefined,,2,,,,,,,
258,12/20/07,UMass Memorial,Paper,,3,,Yes,,Yes,,,
256,12/21/07,Watertown Public Schools,Electronic,,499,Yes,,,,,,Yes
163,12/21/07,HSBC Mortgage Corporation,Electronic,,219,Yes,,,,Yes,,
214,12/21/07,Fidelity Investments,Paper,,4,Yes,,,,Yes,,
211,12/24/07,"Electrical Workers Deferred Income Fund Local 103, I.B.E.W",Electronic,,9000,Yes,Yes,,,,,Yes
237,1/8/08,Harvard University,Electronic,,,,,,Yes,,,
264,1/9/08,Prudential Financial,Paper,,13,,Yes,,,Yes,,
265,1/14/08,Robotic Industries Association,Electronic,,23,,,,Yes,,,
19,1/14/08,T. Rowe Price,Electronic,,1369,Yes,,,,Yes,,Yes
233,1/16/08,Franklin University,Electronic,,7,Yes,,,,,,
153,1/17/08,Northeastern Universtiy,Electronic,,418,Yes,,,,,,
269,1/18/08,Science Applications International Corporation,Electronic,,3,,,,Yes,,Yes,
253,1/23/08,Mariner Health Care,Electronic,,283,Yes,Yes,,,Yes,,Yes
267,1/23/08,Sava Senior Care Administrative Services,Electronic,,,Yes,,,,,,Yes
254,1/25/08,Massachusetts General Physicians Organization (MGPO),Paper,,1,Yes,,,,,,
234,1/25/08,GE Aviation Systems,Electronic,,1,Yes,,,,,,Yes
241,1/25/08,Target Financial Services,Electronic,,16,Yes,,,Yes,Yes,,
242,1/25/08,The Hartford,Paper,,1,Yes,,,,Yes,,
210,1/25/08,Fallon Community Health Plan,Electronic,,29641,Yes,,,,Yes,,Yes
203,1/29/08,Comcast,Paper,,7,,,,Yes,Yes,,
262,1/30/08,Philips Lighting Company,Electronic,,4,Yes,,,,Yes,,
251,2/1/08,Kiwanis International,Electronic,,226,,,,Yes,,,
478,2/3/08,"Heartland Payment Systems, Inc.",Electronic,,,,,,Yes,,,
202,2/4/08,NSK Americas,Electronic,,,Yes,,,,Yes,,
199,2/5/08,Canadian Standards Association (CSA),Electronic,,2,Yes,,,Yes,,Yes,
13,2/5/08,"Administrative Systems, Inc.",Electronic,,3838,Yes,,,,,,Yes
164,2/6/08,Putnam Investments,Electronic,,2,Yes,,,,,,
201,2/6/08,LexisNexis,Electronic,,5,Yes,,Yes,,Yes,,
200,2/7/08,D.A. Davidson & CO.,Electronic,,450,Yes,Yes,,,Yes,,
266,2/7/08,Salesforce.com,Electronic,,38,Yes,,,,,,Yes
189,2/8/08,Vanguard,Electronic,,1,Yes,,,,,Yes,
160,2/8/08,Cross Country Staffing,Electronic,,186,Yes,,,,Yes,,Yes
14173,2/8/08,"Cross Country Travcorps, Inc., NovaPro, Inc., and Assignment America, Inc. dba Cross Country Staffin",Undefined,,186,Yes,,,,Yes,,
166,2/11/08,Sun Life Financial,Electronic,,2,,Yes,,,Yes,,
190,2/11/08,Vanguard,Electronic,,1,Yes,,,,,Yes,
15,2/13/08,Bank of America,Electronic,,1,Yes,Yes,,,Yes,,
29,2/14/08,MBSC Securities Corporation,Electronic,,7,,Yes,,,Yes,,
168,2/14/08,SYDA Foundation,Electronic,,42,,,,Yes,,,
169,2/14/08,Mass. General Physicians Organization,Electronic,,103,Yes,,,,,,Yes
191,2/14/08,Vanguard,Electronic,,3,Yes,,,,,Yes,
188,2/15/08,The Hartford,Electronic,,3,Yes,,,,Yes,,Yes
167,2/15/08,Marlborough Hospital,Paper,,20,Yes,Yes,,,,,
185,2/19/08,QVC,Electronic,,1,,Yes,,Yes,,,
186,2/19/08,J. Lohr Vineyards & Wines,Electronic,,3,Yes,Yes,,,Yes,,Yes
187,2/19/08,The Commonwealth of MA - DOE,Electronic,,263,Yes,,,,,,Yes
183,2/25/08,Philips Lighting Company,Electronic,,44,Yes,,,,Yes,,Yes
182,2/27/08,Republic Bank & Trust Company,Electronic,,68,Yes,,,,,,
170,2/27/08,Nestle Waters North America Inc.,Electronic,,495,Yes,,,,Yes,,Yes
184,2/29/08,Boston Private Bank & Trust Company,Paper,,1,Yes,Yes,,Yes,,,
290,3/3/08,Massachusetts Mutual Life Insurance Company,Paper,,1,Yes,,,,,,
192,3/5/08,Vanguard,Paper,,1,,Yes,,,,,
174,3/5/08,Kraft Foods,Electronic,,224,Yes,,,,Yes,,Yes
173,3/6/08,"LEAF Financial Corporation Merit Capital Advance, LLC",Electronic,,3,Yes,,,,,,Yes
194,3/6/08,Vanguard,Electronic,,1,,Yes,,,,,
193,3/7/08,Vanguard,Paper,,1,Yes,,,,,,
171,3/7/08,Education Management Corporation,Electronic,,3,Yes,,,,,,Yes
172,3/10/08,Starling Insurance and Associates,Electronic,,19,Yes,,,,Yes,,Yes
32,3/11/08,"F.A. Carmichael  Dentistry, Inc.",Electronic,,1015,Yes,,,,,,Yes
195,3/11/08,Priority Health,Electronic,,13,Yes,,,,,,
196,3/11/08,The Commonwealth of MA - DOE,Electronic,,1015,Yes,,,,,,Yes
197,3/11/08,Wolters Kluwer,Electronic,,60,,,,Yes,Yes,,
238,3/12/08,Harvard University,Electronic,,1378,Yes,,,,,,
43,3/12/08,MTV Networks,Electronic,,10,Yes,,,,Yes,,
162,3/12/08,The Dental Network,Electronic,,15,Yes,,,,Yes,,
14268,3/12/08,The Dental Network,Electronic,Yes,15,Yes,,,,,,
94,3/13/08,Lasell College,Electronic,,10673,Yes,,,Yes,,,
98,3/13/08,MTV Networks,Electronic,,1954,Yes,,,,Yes,,Yes
95,3/14/08,3M,Electronic,,25,Yes,,,,Yes,,Yes
89,3/14/08,"Toshiba America Information Systems,Inc.",Electronic,,1,,,,Yes,Yes,,
44,3/18/08,Northeast Investors Trust and Investors Growth Fund,Electronic,,5,Yes,Yes,,,,,
45,3/20/08,"Griffin Electric, Inc.",Electronic,,380,Yes,,,,Yes,,Yes
64,3/20/08,Camp Starfish,Electronic,,30,Yes,,,,,,
46,3/21/08,"Toshiba America Information Systems, Inc.",Electronic,,18,Yes,,,,Yes,,
47,3/21/08,Genworth Finanical,Electronic,,10,Yes,,,,Yes,,Yes
123,3/21/08,Genica Corporation,Electronic,,0,,,,Yes,,,
28,3/24/08,"Pfizer, Inc.",Electronic,,15,,,,Yes,Yes,,Yes
20,3/24/08,CitiBank,Electronic,,19,,,,Yes,Yes,,
71,3/24/08,"Merrimack Mortgage Company, Inc.",Paper,,2,Yes,,,,Yes,,
231,3/24/08,Zurich American Insurance Company,Electronic,,19,,,,,Yes,,
90,3/25/08,Genworth Life and Annuity Insurance Company,Electronic,,10,Yes,,,,Yes,,Yes
48,3/25/08,"Hannaford Bros, Co.",Electronic,,,,,,Yes,,,
40,3/26/08,"Infinity Pharmaceuticals, Inc.",Electronic,,206,Yes,,,,Yes,,Yes
74,3/27/08,"THQ, Inc.",Electronic,,99,Yes,Yes,,,Yes,,Yes
49,3/27/08,Museum of Science,Electronic,,128,,,,Yes,Yes,,
30,3/28/08,"Eastern Sales & Marketing, New England",Paper,,69,Yes,Yes,,,,,
156,3/28/08,Genworth Financial,Paper,,,Yes,Yes,,,Yes,,
157,3/28/08,Men's Warehouse,Paper,,4,Yes,,,,Yes,,
291,3/28/08,Bank of New York Mellon Shareowner Services,Electronic,,5989,Yes,Yes,,,Yes,,Yes
158,3/31/08,"Marriott International, Inc.",Electronic,,3,Yes,,,,Yes,,Yes
97,3/31/08,Synovus Financial Corp.,Electronic,,1,Yes,Yes,,,Yes,,Yes
21,3/31/08,CitiStreet LLC,Electronic,,6,Yes,,,,Yes,,Yes
73,3/31/08,Citizens Bank,Paper,,450,,Yes,,,Yes,,
72,4/2/08,UniCare,Electronic,,29,Yes,,,,Yes,,
155,4/2/08,Sentinel Benefits,Paper,,10,Yes,,,,Yes,,
99,4/4/08,"Agilant Technologies, Inc.",Electronic,,,,,,,,,
14177,4/4/08,Unicare,Electronic,,29,Yes,,,,Yes,,
92,4/5/08,International IOR Rectifier,Electronic,,324,Yes,,,,,,Yes
120,4/7/08,Siemens Healthcare Diagnostics Inc.,Electronic,,15,Yes,,,,Yes,,Yes
87,4/8/08,GMAC Insurance,Electronic,,1,Yes,,,,Yes,,Yes
86,4/10/08,"Interbank FX, LLC",Electronic,,126,Yes,,,,Yes,,
93,4/11/08,Stryker Instruments,Electronic,,26,Yes,,,,Yes,,
88,4/11/08,Aon Corporation,Electronic,,1,Yes,,,,Yes,,Yes
216,4/11/08,Fidelity Investments,Paper,,1,Yes,Yes,,,,,
63,4/14/08,Okemo Mountain Resort,Electronic,,,,,,Yes,,,
159,4/14/08,Marshall & Ilsley Corporation,Electronic,,2,Yes,,,,,,
65,4/15/08,Mortgage Network,Electronic,,39,Yes,Yes,,Yes,,,Yes
14,4/15/08,Aon Corporation,Paper,,1,Yes,,,,Yes,,
39,4/16/08,"Purdue Pharma, LP",Electronic,,74,Yes,Yes,,,Yes,,Yes
41,4/16/08,The Commonwealth of MA - GIC,Electronic,,29,Yes,,,,,,
42,4/16/08,Citi,Paper,,2,Yes,,,Yes,Yes,,
61,4/17/08,The Commonwealth of MA - RMV,Electronic,,1,Yes,,Yes,,,,
62,4/17/08,The Commonwealth of MA - RMV,Paper,,1,,,Yes,,,,
33,4/17/08,Central New England Health Alliance,Electronic,,384,Yes,,,,,,Yes
229,4/18/08,X.L. Global Services Inc.,Electronic,,3,Yes,,,,Yes,,Yes
247,4/21/08,Columbia Capital LLC,Electronic,,10,Yes,Yes,,,,,Yes
246,4/22/08,The Commonwealth of MA - DPL,Paper,,57,Yes,,,,Yes,,
36,4/22/08,Lending Tree,Electronic,,48806,Yes,,,,,,
9,4/22/08,SPX Corporation,Electronic,,3,Yes,Yes,,,Yes,,Yes
10,4/22/08,Mass General Hospital,Electronic,,34,Yes,,,,,,Yes
11,4/22/08,Swimwear Boutique.com,Electronic,,323,,,,Yes,Yes,,
228,4/23/08,"Ameriprise Financial, Inc.",Paper,,10,Yes,,,,Yes,,
14184,4/23/08,Sterling Commerce,Electronic,,326,Yes,,,,Yes,,
14210,4/23/08,Rockland Trust Company,Electronic,,,,Yes,,,,,
14214,4/24/08,Promissor,Paper,,57,Yes,,,,Yes,,
218,4/25/08,The Commonwealth of MA Teachers' Retirement System,Electronic,,1200,Yes,,,,,,
219,4/25/08,Massachusetts Mutual Life Insurance Company,Paper,,,Yes,,,,,,
220,4/28/08,Yeshiva University,Electronic,,4,Yes,Yes,,,,,Yes
221,4/28/08,HSBC Retail Services,Electronic,,22,,,,Yes,,,
176,4/28/08,Bank of America,Paper,,53,Yes,,,,Yes,,
222,5/5/08,"Kindred Rehab Sercvices, Inc.",Electronic,,1,Yes,,,,,,Yes
2,5/5/08,Sterling Jewelers Inc.,Paper,Yes,21,,,,Yes,,,
4,5/5/08,LPL Financial Corporation,Electronic,,22,Yes,Yes,,,Yes,,
5,5/5/08,LPL Financial Corporation,Electronic,,53,Yes,Yes,,,Yes,,Yes
6,5/5/08,LPL Financial Corporation,Electronic,,1,Yes,Yes,,,Yes,,Yes
7,5/5/08,LPL Financial Corporation,Electronic,,114,Yes,Yes,,,Yes,,Yes
8,5/5/08,Argosy University,Electronic,,22,Yes,,,,Yes,,Yes
14218,5/5/08,"Adobe Systems Incorporated (""Adobe"")",Electronic,,14,,Yes,Yes,,Yes,,
232,5/6/08,Rehabilitation Hospital of the Cape and Islands,Both,,26,Yes,,,,,,
224,5/7/08,Boch Enterprises,Paper,,1,Yes,Yes,,,,,
3,5/8/08,LPL Financial Corporation,Electronic,,1,Yes,Yes,,,Yes,,
75,5/9/08,Bryant & Stratton College,Electronic,,3,Yes,,,,Yes,,Yes
223,5/9/08,Progressive Insurance,Paper,,46,,,Yes,,,,
225,5/12/08,Sodexo,Electronic,,835,Yes,,,,,,Yes
226,5/12/08,Vanguard,Paper,,1,,Yes,,,,,
227,5/12/08,BearingPoint Management & Technology Consultants,Electronic,,7,Yes,,,,Yes,,Yes
76,5/12/08,Rockland Trust Company,Electronic,,35,,,,Yes,,,
77,5/15/08,The Commonwealth of MA - DOI,Paper,,50,Yes,,Yes,,,,
113,5/16/08,Capella University,Electronic,,1,Yes,,,,,,
14182,5/16/08,Axcess Financial,Electronic,,47,Yes,,,,,,
81,5/19/08,Vanguard,Paper,,1,,Yes,,,,,
82,5/19/08,Automotive Events,Electronic,,1,Yes,,,,,,Yes
83,5/19/08,Wells Fargo,Electronic,,114,Yes,Yes,,,,,
80,5/22/08,"Citi - CAI Hedge Fund Partners, LLC",Electronic,,5,Yes,,,,Yes,,
84,5/23/08,The Connecting Link,Electronic,,20,Yes,,,,Yes,,
85,5/23/08,AT&T,Electronic,,621,Yes,,,,Yes,,Yes
91,5/25/08,Jackson National Life Insurance Company,Electronic,,2,,,,,,,
78,5/27/08,Jackson National Life Insurance Company,Paper,,6,,,,,,,
79,5/27/08,"RE Moulton, Inc.",Electronic,,6,Yes,,,,Yes,,Yes
122,5/27/08,Massachusetts Mutual Life Insurance Company,Electronic,,,Yes,,,,,,
14226,5/27/08,Vanguard,Paper,,3,,,,,,,
105,5/29/08,State Street Bank and Trust,Electronic,,10000,Yes,Yes,,,Yes,,
38,5/30/08,Bank of New York Mellon,Electronic,,162162,Yes,Yes,,Yes,Yes,,Yes
35,6/2/08,1st Source Bank,Electronic,,101,Yes,,,Yes,Yes,,
50,6/2/08,SallieMae,Paper,,3,Yes,Yes,,,,,
51,6/2/08,Crabtree & Evelyn,Electronic,,26,Yes,,,,Yes,,Yes
52,6/2/08,"Gap, Inc.",Paper,,18,Yes,,,,,,
53,6/2/08,"Ameriprise Financial Services, Inc.",Electronic,,81,Yes,Yes,,,Yes,,Yes
96,6/2/08,1st Source Bank,Electronic,,111,Yes,,,Yes,Yes,,
54,6/3/08,Quest Diagnostics Inc.,Electronic,,5,Yes,,,,Yes,,Yes
55,6/4/08,Shaughnessy-Kaplan Rehabilitation Hospital,Paper,,1,,,,,,,
152,6/4/08,Financial Industry Regulatory Authority,Electronic,,5,,Yes,,,,,Yes
56,6/5/08,H&R Block,Electronic,,16,Yes,,,,Yes,,
69,6/6/08,"CA, Inc.",Electronic,,22,Yes,,,,,Yes,
70,6/9/08,BearingPoint Management & Technology Consultants,Electronic,,7,Yes,,,,Yes,,Yes
67,6/9/08,Enterprise Bank,Electronic,,4650,,Yes,,,Yes,,Yes
57,6/9/08,"Facebook, Inc.",Electronic,,1,,,Yes,,,,
58,6/9/08,"Credit Bureau of Traverse City, Inc.",Electronic,,2,Yes,,,Yes,Yes,,
59,6/9/08,Vanguard,Paper,,2,Yes,Yes,,,,,
60,6/9/08,United Transportation Union,Electronic,,90,Yes,,,,,,Yes
68,6/10/08,Sungard Availability Services (SAS),Electronic,,1,Yes,,,,Yes,,Yes
112,6/13/08,Moravian College,Electronic,,10,Yes,,,,Yes,,Yes
106,6/16/08,The Commonwealth of MA - Department of the State Treasurer,Electronic,,,Yes,Yes,,,,,
107,6/16/08,Quixtar Inc.,Electronic,,3,,,,,,,
108,6/16/08,"CNET Networks, Inc.",Electronic,,,Yes,,,,Yes,,Yes
110,6/18/08,TomTom Inc.,Paper,,1,,Yes,,,,,
111,6/18/08,"Highland Capital Brokerage, Inc.",Electronic,,2,Yes,,,,,,
114,6/19/08,"Ebara Technologies, Inc",Electronic,,23,Yes,Yes,,,,,Yes
115,6/20/08,"All Covered, Inc.",Electronic,,89,Yes,Yes,,,,,Yes
116,6/20/08,"Zhone Technologies, Inc.",Electronic,,55,Yes,,,,Yes,,Yes
118,6/20/08,Aon Corporation,Electronic,,3694,Yes,,,,Yes,,Yes
100,6/20/08,"Allstate Financial Services, LLC",Electronic,,10,Yes,Yes,,,Yes,,
101,6/23/08,"Citizens Financial Group, Inc.",Electronic,,9,,,,,Yes,,
102,6/23/08,Massachusetts Mutual Life Insurance Company,Electronic,,5,Yes,,,,Yes,,Yes
103,6/23/08,Xlibris Corporation,Electronic,,90,,,,Yes,,,
117,6/23/08,"Bebe Stores, Inc.",Electronic,,471,Yes,,,,,,Yes
331,6/23/08,Citizens Bank,Electronic,,9,,,,,Yes,,
121,6/24/08,"Synopsys, Inc.",Electronic,,155,Yes,,,,Yes,,Yes
104,6/25/08,"SunGard Data System, Inc.",Electronic,,300,Yes,,,,Yes,,Yes
137,6/25/08,Heald College,Electronic,,2,Yes,,,,,,Yes
138,6/26/08,St. Vincent's Hospital Vanguard Health Systems,Paper,,2,,,,,Yes,,
134,6/26/08,Nielsen Mobile,Electronic,,8,Yes,,,,,,Yes
135,6/26/08,UMass Memorial,Paper,,79,,Yes,,,,,
130,6/26/08,JDS Uniphase,Electronic,,1194,Yes,,,,Yes,,Yes
14262,6/26/08,Vanguard Health Systems,Paper,,2,,,,,Yes,,
14180,6/26/08,UMass Memorial Medical Center,Paper,,79,,Yes,,,,,
131,6/27/08,Verizon,Electronic,,3696,Yes,,,,Yes,,Yes
129,6/27/08,"Google, Inc.",Electronic,,67,Yes,,,,Yes,,Yes
136,7/1/08,National Western Life Insurane company,Paper,,87,Yes,,,,,,
139,7/2/08,Houghton Mifflin Harcourt,Electronic,,11,Yes,,,,Yes,,
272,7/2/08,Rockland Trust Company,Electronic,,2,,,,Yes,,,
273,7/2/08,Rockland Trust Company,Electronic,,2,,,,Yes,,,
274,7/2/08,Rockland Trust Company,Electronic,,2,,,,Yes,,,
275,7/2/08,Rockland Trust Company,Electronic,,32,,,,Yes,,,
276,7/2/08,Rockland Trust Company,Electronic,,1,,,,Yes,,,
277,7/2/08,Rockland Trust Company,Electronic,,51,,,,Yes,,,
278,7/2/08,Rockland Trust Company,Electronic,,4,,,,Yes,,,
279,7/2/08,Rockland Trust Company,Electronic,,20,,,,Yes,,,
280,7/2/08,Rockland Trust Company,Electronic,,4,,,,Yes,,,
281,7/2/08,Rockland Trust Company,Electronic,,38,,,,Yes,,,
282,7/2/08,Rockland Trust Company,Electronic,,9,,,,Yes,,,
283,7/2/08,Rockland Trust Company,Electronic,,1,,,,Yes,,,
284,7/2/08,Rockland Trust Company,Electronic,,1,,,,Yes,,,
285,7/2/08,Rockland Trust Company,Electronic,,1,,,,Yes,,,
286,7/2/08,Rockland Trust Company,Electronic,,1,,,,Yes,,,
128,7/3/08,Bankers Benefits,Electronic,,,Yes,,,,Yes,,Yes
143,7/7/08,"Fischbach, LLC",Electronic,,2,Yes,,,,Yes,,Yes
144,7/7/08,"Direct Marketing Services, Inc.",Electronic,,1402,,,,Yes,Yes,,
132,7/7/08,Fremont Group,Electronic,,1,Yes,,,,Yes,,Yes
126,7/7/08,"PDL BioPharma, Inc",Electronic,,,Yes,Yes,,,Yes,,Yes
127,7/7/08,Vanguard,Paper,,1,,Yes,,,,,
142,7/8/08,New England Baptist Hospital,Paper,,10,,Yes,,,Yes,,
141,7/9/08,Bowdoin College,Electronic,,2791,Yes,,,,,,
140,7/11/08,Willis Group Holdings Limited,Electronic,,1784,Yes,Yes,,,Yes,,Yes
147,7/14/08,Stanadyne Corporation,Electronic,,105,Yes,,,,Yes,,Yes
148,7/14/08,Oakland University,Electronic,,2,Yes,,,,Yes,,Yes
149,7/14/08,Bristol-Myers Squibb Company,Electronic,,1921,Yes,,,,Yes,,Yes
124,7/14/08,"R.H.Donnelley, Inc.",Electronic,,150,Yes,,,,Yes,,Yes
133,7/14/08,"Gilead Sciences, Inc.",Electronic,,38,Yes,,,,Yes,,Yes
146,7/15/08,Heinemann-Raintree Publishers,Electronic,,69,,,,Yes,,,
293,7/15/08,Rockland Trust Company,Electronic,,38,,,,Yes,,,
294,7/15/08,Rockland Trust Company,Electronic,,1,,,,Yes,,,
295,7/15/08,Rockland Trust Company,Electronic,,1,,,,Yes,,,
205,7/17/08,Honeywell International Inc.,Electronic,,2,,Yes,,,Yes,,
206,7/17/08,"Integrated Device Technology, Inc.",Electronic,,56,Yes,,,,Yes,,Yes
145,7/17/08,"24 Hour Fitness USA, Inc.",Electronic,,23,Yes,,,,Yes,,Yes
125,7/17/08,"Exponent, Inc.",Electronic,,204,Yes,,,,Yes,,Yes
150,7/21/08,TeleAtlas,Electronic,,46,Yes,,,,Yes,,Yes
151,7/21/08,The Commonwealth of MA - Health Insurance Connector Authority,Electronic,,1,Yes,,,,,,
287,7/21/08,Rockland Trust Company,Electronic,,1,,,,Yes,,,
179,7/22/08,Beth Israel Deaconess Health Care,Paper,,22,,Yes,,,,,
178,7/25/08,Anheuser Busch,Electronic,,2811,Yes,,,,Yes,Yes,Yes
175,7/25/08,LPL Financial Corporation,Electronic,,3,Yes,Yes,,,Yes,,Yes
14222,7/25/08,Bank of America,Paper,,53,Yes,,,,Yes,,
180,7/28/08,"Kana Software, Inc.",Electronic,,119,Yes,,,,,,Yes
181,7/28/08,Colt Express Outsourcing Services Inc.,Electronic,,10,Yes,,,,Yes,,Yes
271,7/28/08,Macro International Inc.,Electronic,,9,Yes,,,,Yes,,
289,7/28/08,Huron Consulting Group,Both,,162,Yes,Yes,,,Yes,,
213,7/29/08,HSBC Auto Finance Inc.,Electronic,,15,Yes,Yes,,,Yes,,
204,7/29/08,The Walt Disney Company,Electronic,,33366,Yes,Yes,,,Yes,,Yes
208,7/30/08,Boston Medical Center HealthNet Plan,Electronic,,3,Yes,,,,Yes,,Yes
209,7/30/08,"Franklin Templeton Investor Services, LLC",Paper,,1,Yes,Yes,,,,,
217,7/30/08,Bank of New York Mellon,Paper,,30,Yes,,,,,,
212,7/31/08,Northeastern University,Electronic,,61,Yes,,,,,,
207,7/31/08,New York Life Insurance Company,Electronic,,41,Yes,Yes,,,Yes,,
313,7/31/08,Rockland Trust Company,Paper,,1,Yes,Yes,,Yes,,,
380,8/1/08,Wells Fargo,Electronic,,117,Yes,,Yes,Yes,Yes,,
14267,8/4/08,North Shore Medical Center Salem Hospital,Paper,Yes,,Yes,,,,,,
230,8/5/08,Alaska Airlines,Paper,,2,,Yes,,Yes,,,
288,8/7/08,Northeastern University,Both,,7,Yes,Yes,,,,,
292,8/8/08,Bank of America,Electronic,,,Yes,Yes,,,Yes,Yes,Yes
14263,8/8/08,Jackson National Life Insurance Company,Paper,Yes,1,,Yes,,,,,
301,8/11/08,GMAC Mortgage,Paper,,2,,Yes,,,Yes,,
302,8/11/08,GMAC Ditech,Paper,,2,Yes,Yes,,Yes,Yes,,
296,8/11/08,Blue Cross Blue Shield of Georgia,Paper,,13,Yes,,,,,,
297,8/11/08,Charter Communications,Electronic,,472,Yes,,Yes,,Yes,,Yes
298,8/12/08,Vanguard,Paper,,1,,Yes,,,,,
299,8/12/08,USAA Brokerage Services,Electronic,,1,Yes,Yes,,,,,Yes
300,8/12/08,Goldman Sachs & Co.,Electronic,,134,Yes,Yes,,,,,Yes
14170,8/12/08,Countrywide,Undefined,Yes,3,Yes,,,,Yes,,
363,8/12/08,The Hartford,Electronic,,8,Yes,Yes,,,Yes,,
314,8/14/08,Rockland Trust Company,Electronic,,10,,,,Yes,,,
315,8/14/08,Rockland Trust Company,Electronic,,2,,,,Yes,,,
316,8/14/08,Rockland Trust Company,Electronic,,6,,,,Yes,,,
307,8/14/08,The Commonwealth of MA - DOR,Electronic,,4,Yes,,,,,,
308,8/14/08,The Commonwealth of MA - DOR,Electronic,,4,Yes,,,,,,
309,8/14/08,The Commonwealth of MA - DOR,Electronic,,2,Yes,,,,,,
310,8/14/08,The Commonwealth of MA - DOR,Electronic,,1,Yes,,,,,,
311,8/14/08,The Commonwealth of MA - DOR,Electronic,,2,Yes,,,,,,
312,8/14/08,The Commonwealth of MA - DOR,Electronic,,1,Yes,,,,,,
317,8/19/08,Centillium Communications,Electronic,,4,Yes,,,,,,Yes
330,8/20/08,InterActive Financial Marketing Group,Electronic,,1750,Yes,,,,Yes,,
304,8/21/08,Sheridan State Bank,Electronic,,8,Yes,Yes,,,Yes,,Yes
305,8/21/08,First State Bank of Pinedale,Electronic,,4,Yes,Yes,,,Yes,,Yes
306,8/21/08,Pine Manor College,Both,,2,Yes,,,,Yes,,
14261,8/21/08,First State Bank of Pinedale,Undefined,,4,Yes,Yes,,,Yes,,
332,8/25/08,Union Standard,Electronic,,2,Yes,,Yes,,,,Yes
333,8/25/08,The College Board,Electronic,,4,Yes,,,,Yes,,Yes
319,8/28/08,The Commonwealth of MA - DOR,Paper,,1,,,,,,,
320,8/28/08,Bill Dube Hyundai,Electronic,,6380,Yes,Yes,,,,,Yes
321,8/28/08,United Bank of Idaho,Electronic,,3,Yes,Yes,,,Yes,,Yes
322,8/28/08,Jackson State Bank & Trust,Electronic,,169,Yes,Yes,,,Yes,,Yes
323,8/28/08,"Nye Lubricants, Inc",Electronic,,148,Yes,,,,Yes,,
324,8/28/08,Massachusetts Mutual Life Insurance Company,Electronic,,7,,Yes,,,,,
318,8/29/08,Bank of New York Shareowner Services,Electronic,,,Yes,Yes,,,Yes,,Yes
361,9/2/08,Aetna,Paper,,9,Yes,,,,Yes,,
362,9/2/08,Shoshone First Bank,Electronic,,21,Yes,,,,Yes,,Yes
360,9/4/08,"Bear, Stearns Securities Corp",Electronic,,3,,Yes,,,Yes,,
364,9/4/08,Fresenius Medical Care,Electronic,,1,Yes,Yes,,,Yes,,Yes
357,9/4/08,Boston Private Bank & Trust Company,Electronic,,13,,Yes,,,,,
329,9/4/08,Rochester Institute of Technology,Electronic,,394,Yes,,,,,,Yes
